기기ID,기기명,기기유형,설치위치,제조사,모델명,설치일자,정격용량,기기상태
EQ0055,센서-25,변압기,공장A-1층,LS산전,MOD-5897,2020-10-18,125.8,정상
EQ0056,밸브-26,열교환기,창고-1층,한화Q셀,MOD-9238,2020-06-05,339.16,주의
EQ0057,컴프레서-27,변압기,공장A-1층,삼성중공업,MOD-5026,2020-12-16,391.7,주의
EQ0058,열교환기-28,변압기,공장A-2층,현대중공업,MOD-6116,2020-12-05,275.2,경고
EQ0059,열교환기-29,열교환기,창고-2층,케이시,MOD-3435,2020-01-18,294.06,정상
EQ0060,변압기-30,펌프,공장A-1층,LS산전,MOD-8138,2020-08-13,478.17,정상
EQ0061,밸브-1,밸브,공장A-3층,현대중공업,MOD-4973,2020-03-26,431.23,정상
EQ0062,열교환기-2,변압기,공장B-2층,LS산전,MOD-1581,2020-03-24,461.41,정상
EQ0063,컴프레서-3,열교환기,공장A-2층,두산중공업,MOD-6405,2020-08-02,416.19,정상
EQ0064,변압기-4,열교환기,창고-2층,효성,MOD-3551,2020-08-27,99.01,부분결함
EQ0065,컴프레서-5,냉각기,공장A-1층,두산중공업,MOD-154,2020-01-06,117.05,부분결함
EQ0066,변압기-6,펌프,창고-1층,한화Q셀,MOD-7743,2020-08-19,286.98,부분결함
EQ0067,밸브-7,센서,공장A-3층,현대중공업,MOD-3562,2020-08-28,160.73,주의
EQ0068,센서-8,냉각기,공장A-3층,한화Q셀,MOD-932,2020-01-27,264.51,정상
EQ0069,분사기-9,냉각기,공장A-1층,효성,MOD-6054,2020-11-16,227.46,정상
EQ0070,제어판-10,분사기,공장B-2층,LS산전,MOD-8619,2020-09-13,297.24,정상
EQ0071,센서-11,밸브,공장A-1층,효성,MOD-7321,2020-11-13,386.09,경고
EQ0072,냉각기-12,열교환기,공장A-2층,삼성중공업,MOD-3410,2020-09-21,371.97,정상
EQ0073,컴프레서-13,밸브,공장A-1층,효성,MOD-3400,2020-10-04,284.56,정상
EQ0074,냉각기-14,모터,공장A-3층,삼성중공업,MOD-6822,2020-11-06,420.08,정상
EQ0075,센서-15,분사기,창고-2층,효성,MOD-7318,2020-12-07,243.89,정상
EQ0076,변압기-16,센서,공장A-1층,케이시,MOD-7876,2020-05-11,453.52,경고
EQ0077,제어판-17,밸브,공장B-2층,삼성중공업,MOD-3775,2020-10-25,82.08,주의
EQ0078,제어판-18,컴프레서,창고-2층,현대중공업,MOD-3154,2020-03-23,479.6,정상
EQ0079,펌프-19,변압기,창고-1층,한화Q셀,MOD-8070,2020-10-10,344.61,부분결함
EQ0080,제어판-20,모터,공장B-1층,한화Q셀,MOD-2243,2020-11-21,221.03,주의
EQ0081,분사기-21,펌프,공장A-1층,두산중공업,MOD-5307,2020-07-18,138.72,정상
EQ0082,제어판-22,센서,공장B-2층,한화Q셀,MOD-9603,2020-04-02,265.63,정상
EQ0083,센서-23,모터,창고-2층,LS산전,MOD-2638,2020-12-07,137.55,정상
EQ0084,펌프-24,변압기,공장B-2층,케이시,MOD-4647,2020-02-13,124.85,정상
EQ0085,센서-25,분사기,창고-1층,효성,MOD-5719,2020-11-17,327.81,부분결함
EQ0086,센서-26,변압기,공장A-3층,두산중공업,MOD-8456,2020-09-17,285.39,정상
EQ0087,모터-27,냉각기,공장B-2층,LS산전,MOD-6712,2020-08-02,351.54,경고
EQ0088,펌프-28,변압기,창고-2층,LS산전,MOD-5105,2020-12-24,468.32,정상
EQ0089,센서-29,냉각기,공장B-2층,삼성중공업,MOD-922,2020-03-16,289.52,정상
EQ0090,모터-30,분사기,공장B-2층,한화Q셀,MOD-1043,2020-06-19,311.42,정상
EQ0091,모터-1,제어판,공장B-2층,현대중공업,MOD-6250,2020-07-10,90.33,정상
EQ0092,펌프-2,냉각기,공장A-2층,현대중공업,MOD-4525,2020-09-02,372.94,정상
EQ0093,냉각기-3,펌프,공장A-2층,두산중공업,MOD-9066,2020-12-28,229.96,부분결함
EQ0094,변압기-4,변압기,공장A-3층,케이시,MOD-2298,2020-05-22,489.53,정상
EQ0095,분사기-5,변압기,공장A-1층,현대중공업,MOD-4342,2020-04-20,420.43,주의
EQ0096,변압기-6,펌프,공장B-2층,효성,MOD-3795,2020-04-18,285.12,정상
EQ0097,제어판-7,컴프레서,창고-1층,현대중공업,MOD-3552,2020-04-27,105.45,정상
EQ0098,분사기-8,열교환기,공장A-1층,두산중공업,MOD-9206,2020-01-12,436.74,정상
EQ0099,제어판-9,제어판,창고-1층,현대중공업,MOD-1408,2020-06-17,409.9,정상
EQ0100,센서-10,센서,공장A-1층,효성,MOD-4277,2020-10-22,133.06,정상
EQ0101,컴프레서-11,냉각기,공장A-3층,삼성중공업,MOD-8805,2020-01-22,182.88,정상
EQ0102,펌프-12,펌프,공장B-2층,케이시,MOD-6952,2020-10-24,407.03,정상
EQ0103,분사기-13,분사기,공장B-2층,두산중공업,MOD-6135,2020-11-18,133.35,정상
EQ0104,분사기-14,냉각기,공장B-1층,삼성중공업,MOD-3694,2020-02-14,462.99,정상
EQ0105,센서-15,열교환기,창고-1층,삼성중공업,MOD-4941,2020-12-04,241.04,정상
EQ0106,냉각기-16,분사기,공장A-1층,삼성중공업,MOD-1509,2020-11-03,89.17,부분결함
EQ0107,모터-17,모터,공장A-1층,LS산전,MOD-4666,2020-04-12,417.09,주의
EQ0108,센서-18,변압기,공장A-2층,케이시,MOD-4591,2020-07-11,218.08,정상
EQ0109,열교환기-19,모터,공장B-1층,한화Q셀,MOD-1655,2020-01-06,286.92,정상
EQ0110,모터-20,냉각기,창고-2층,케이시,MOD-904,2020-03-11,100.54,부분결함
EQ0111,펌프-21,열교환기,창고-2층,LS산전,MOD-1379,2020-10-23,51.16,주의
EQ0112,모터-22,제어판,공장A-2층,한화Q셀,MOD-7183,2020-10-02,337.09,정상
EQ0113,냉각기-23,냉각기,공장A-2층,케이시,MOD-6086,2020-02-04,281.83,경고
EQ0114,모터-24,펌프,공장A-2층,삼성중공업,MOD-5719,2020-01-03,317.09,정상
EQ0115,펌프-25,밸브,창고-1층,두산중공업,MOD-1487,2020-09-07,407.18,정상
EQ0116,냉각기-26,냉각기,창고-1층,한화Q셀,MOD-2779,2020-07-11,340.97,주의
EQ0117,변압기-27,변압기,공장A-3층,효성,MOD-2206,2020-04-02,128.65,정상
EQ0118,분사기-28,변압기,공장A-3층,효성,MOD-8273,2020-04-22,212.35,부분결함
EQ0119,분사기-29,냉각기,공장A-2층,현대중공업,MOD-4323,2020-11-27,457.65,주의
EQ0120,제어판-30,분사기,공장B-1층,한화Q셀,MOD-4931,2020-03-17,396.48,정상
EQ0121,변압기-1,밸브,공장A-1층,두산중공업,MOD-2868,2020-12-24,300.49,정상
EQ0122,변압기-2,펌프,창고-1층,LS산전,MOD-3286,2020-12-21,165.04,정상
EQ0123,모터-3,냉각기,공장B-1층,삼성중공업,MOD-2673,2020-05-27,185.93,정상
EQ0124,분사기-4,분사기,공장B-2층,현대중공업,MOD-2699,2020-04-06,379.38,주의
EQ0125,펌프-5,변압기,창고-1층,효성,MOD-4133,2020-03-25,433.03,정상
EQ0126,밸브-6,변압기,창고-1층,LS산전,MOD-8528,2020-05-03,352.14,정상
EQ0127,밸브-7,열교환기,공장A-3층,LS산전,MOD-1404,2020-11-01,414.29,주의
EQ0128,냉각기-8,냉각기,공장A-1층,삼성중공업,MOD-7468,2020-10-28,395.0,정상
EQ0129,분사기-9,밸브,공장A-1층,한화Q셀,MOD-5977,2020-06-15,117.37,주의
EQ0130,분사기-10,컴프레서,창고-2층,효성,MOD-1401,2020-02-03,240.78,정상
EQ0131,밸브-11,밸브,창고-2층,두산중공업,MOD-2641,2020-01-25,118.84,부분결함
EQ0132,분사기-12,변압기,창고-2층,LS산전,MOD-2151,2020-08-12,155.86,정상
EQ0133,모터-13,변압기,창고-2층,삼성중공업,MOD-6909,2020-02-15,441.17,정상
EQ0134,열교환기-14,모터,공장B-2층,두산중공업,MOD-8733,2020-12-16,262.8,정상
EQ0135,컴프레서-15,변압기,공장B-2층,한화Q셀,MOD-9096,2020-11-08,290.91,정상
EQ0136,변압기-16,펌프,창고-1층,효성,MOD-174,2020-12-14,130.3,주의
EQ0137,제어판-17,센서,공장A-2층,한화Q셀,MOD-7081,2020-09-17,190.52,주의
EQ0138,냉각기-18,냉각기,공장A-3층,LS산전,MOD-5575,2020-05-08,153.61,주의
EQ0139,열교환기-19,밸브,공장A-3층,두산중공업,MOD-8332,2020-11-14,142.78,정상
EQ0140,밸브-20,센서,창고-2층,두산중공업,MOD-7284,2020-02-20,337.08,정상
EQ0141,변압기-21,분사기,창고-1층,두산중공업,MOD-5896,2020-07-03,165.6,정상
EQ0142,분사기-22,컴프레서,공장B-1층,LS산전,MOD-7241,2020-12-21,334.41,정상
EQ0143,제어판-23,펌프,공장A-2층,LS산전,MOD-1722,2020-08-28,76.3,경고
EQ0144,분사기-24,밸브,창고-1층,한화Q셀,MOD-8141,2020-10-03,113.8,정상
EQ0145,펌프-25,센서,공장A-2층,현대중공업,MOD-441,2020-04-14,173.54,정상
EQ0146,펌프-26,컴프레서,공장A-2층,한화Q셀,MOD-2174,2020-09-14,318.67,정상
EQ0147,제어판-27,모터,공장A-2층,효성,MOD-8092,2020-07-17,354.13,경고
EQ0148,제어판-28,펌프,창고-1층,삼성중공업,MOD-745,2020-12-20,249.22,주의
EQ0149,밸브-29,펌프,창고-2층,두산중공업,MOD-4363,2020-04-09,250.61,경고
EQ0150,제어판-30,모터,공장A-3층,현대중공업,MOD-8901,2020-06-16,376.03,정상
EQ0151,모터-1,냉각기,공장A-3층,삼성중공업,MOD-6236,2020-09-28,57.12,정상
EQ0152,분사기-2,모터,창고-2층,현대중공업,MOD-8746,2020-06-22,203.49,경고
EQ0153,열교환기-3,펌프,공장A-2층,케이시,MOD-3069,2020-05-21,418.42,주의
EQ0154,센서-4,펌프,공장B-1층,한화Q셀,MOD-3128,2020-02-24,321.45,정상
EQ0155,제어판-5,센서,공장A-1층,LS산전,MOD-7743,2020-08-11,201.75,주의
EQ0156,냉각기-6,변압기,창고-1층,두산중공업,MOD-2781,2020-01-08,457.49,경고
EQ0157,펌프-7,컴프레서,공장A-1층,한화Q셀,MOD-3729,2020-05-18,397.68,주의
EQ0158,모터-8,모터,창고-2층,삼성중공업,MOD-4325,2020-02-14,169.2,주의
EQ0159,변압기-9,컴프레서,공장B-1층,케이시,MOD-3167,2020-06-11,340.38,정상
EQ0160,센서-10,모터,창고-1층,케이시,MOD-6041,2020-09-01,318.09,정상
EQ0161,열교환기-11,분사기,창고-2층,케이시,MOD-1486,2020-12-06,230.53,정상
EQ0162,센서-12,펌프,공장A-2층,삼성중공업,MOD-2966,2020-09-08,215.13,경고
EQ0163,제어판-13,변압기,공장A-3층,삼성중공업,MOD-4888,2020-11-22,204.6,경고
EQ0164,밸브-14,센서,공장A-1층,삼성중공업,MOD-5590,2020-03-24,327.72,경고
EQ0165,펌프-15,변압기,공장B-2층,삼성중공업,MOD-4224,2020-09-17,249.08,정상
EQ0166,펌프-16,변압기,공장B-2층,케이시,MOD-8440,2020-12-25,424.34,주의
EQ0167,변압기-17,변압기,공장B-1층,케이시,MOD-3950,2020-06-22,351.32,주의
EQ0168,밸브-18,컴프레서,공장A-2층,현대중공업,MOD-5515,2020-12-20,81.47,주의
EQ0169,분사기-19,모터,공장A-1층,한화Q셀,MOD-7779,2020-01-10,338.08,주의
EQ0170,컴프레서-20,제어판,공장A-2층,두산중공업,MOD-6919,2020-08-18,172.02,경고
EQ0171,모터-21,분사기,공장A-1층,LS산전,MOD-9428,2020-12-01,316.77,정상
EQ0172,펌프-22,밸브,공장B-1층,케이시,MOD-8478,2020-02-01,356.06,정상
EQ0173,냉각기-23,변압기,공장B-1층,LS산전,MOD-9542,2020-01-09,153.87,정상
EQ0174,펌프-24,냉각기,공장B-2층,한화Q셀,MOD-1433,2020-01-13,255.59,정상
EQ0175,센서-25,컴프레서,공장A-2층,한화Q셀,MOD-4250,2020-04-26,135.65,주의
EQ0176,펌프-26,센서,창고-1층,LS산전,MOD-6866,2020-06-07,73.55,주의
EQ0177,펌프-27,밸브,공장B-2층,케이시,MOD-2811,2020-02-06,220.31,정상
EQ0178,컴프레서-28,제어판,공장A-2층,LS산전,MOD-4953,2020-07-26,213.32,정상
EQ0179,컴프레서-29,냉각기,공장B-2층,현대중공업,MOD-6312,2020-10-18,497.97,주의
EQ0180,열교환기-30,제어판,창고-1층,효성,MOD-7579,2020-02-10,250.86,정상
EQ0181,분사기-1,밸브,공장A-3층,케이시,MOD-5508,2020-07-12,200.11,정상
EQ0182,냉각기-2,변압기,공장A-3층,케이시,MOD-7815,2020-01-08,311.21,정상
EQ0183,펌프-3,냉각기,공장A-3층,두산중공업,MOD-9042,2020-11-03,89.95,정상
EQ0184,펌프-4,제어판,공장A-3층,삼성중공업,MOD-1862,2020-11-06,482.75,정상
EQ0185,모터-5,센서,창고-2층,효성,MOD-7201,2020-09-06,335.73,정상
EQ0186,컴프레서-6,모터,공장A-1층,한화Q셀,MOD-7774,2020-09-07,389.68,정상
EQ0187,냉각기-7,펌프,창고-2층,케이시,MOD-6222,2020-09-18,126.72,경고
EQ0188,변압기-8,모터,창고-2층,LS산전,MOD-581,2020-12-08,234.27,정상
EQ0189,열교환기-9,밸브,창고-2층,효성,MOD-253,2020-08-18,240.21,주의
EQ0190,분사기-10,컴프레서,공장A-3층,두산중공업,MOD-7717,2020-12-20,419.81,정상
EQ0191,밸브-11,펌프,창고-1층,한화Q셀,MOD-1624,2020-11-07,50.56,정상
EQ0192,분사기-12,분사기,공장B-1층,삼성중공업,MOD-2220,2020-11-20,185.38,주의
EQ0193,센서-13,센서,공장B-1층,삼성중공업,MOD-2443,2020-04-06,491.56,정상
EQ0194,펌프-14,분사기,공장A-1층,두산중공업,MOD-5236,2020-10-22,263.7,정상
EQ0195,열교환기-15,냉각기,공장A-3층,두산중공업,MOD-5860,2020-10-03,222.14,정상
EQ0196,센서-16,펌프,공장A-3층,LS산전,MOD-1340,2020-09-28,103.92,주의
EQ0197,냉각기-17,분사기,공장A-3층,케이시,MOD-160,2020-10-14,488.37,정상
EQ0198,밸브-18,분사기,공장B-2층,삼성중공업,MOD-9230,2020-11-18,59.01,정상
EQ0199,컴프레서-19,제어판,공장A-2층,한화Q셀,MOD-1739,2020-06-12,381.73,주의
EQ0200,열교환기-20,모터,공장B-2층,효성,MOD-6285,2020-07-12,395.87,정상
EQ0201,열교환기-21,제어판,공장A-2층,한화Q셀,MOD-8070,2020-09-13,159.65,주의
EQ0202,펌프-22,펌프,공장A-3층,현대중공업,MOD-1352,2020-03-26,352.2,주의
EQ0203,제어판-23,펌프,공장A-3층,현대중공업,MOD-4303,2020-03-23,91.82,부분결함
EQ0204,열교환기-24,밸브,공장B-2층,두산중공업,MOD-8463,2020-04-13,165.67,정상
EQ0205,모터-25,제어판,공장B-2층,LS산전,MOD-9750,2020-08-23,404.56,경고
EQ0206,밸브-26,열교환기,공장A-2층,현대중공업,MOD-3649,2020-05-23,439.11,정상
EQ0207,밸브-27,모터,공장B-1층,삼성중공업,MOD-4297,2020-03-12,323.82,정상
EQ0208,모터-28,펌프,공장A-2층,한화Q셀,MOD-7109,2020-02-06,278.08,정상
EQ0209,변압기-29,밸브,공장B-2층,한화Q셀,MOD-6767,2020-02-19,121.69,주의
EQ0210,모터-30,제어판,창고-1층,두산중공업,MOD-2422,2020-06-05,78.4,정상
EQ0211,모터-1,모터,공장B-2층,케이시,MOD-9928,2020-08-09,102.94,정상
EQ0212,밸브-2,제어판,창고-1층,케이시,MOD-4190,2020-11-03,152.31,정상
EQ0213,분사기-3,분사기,공장A-1층,효성,MOD-7060,2020-12-10,203.75,경고
EQ0214,밸브-4,밸브,공장B-2층,두산중공업,MOD-3104,2020-03-03,221.41,주의
EQ0215,제어판-5,모터,공장A-1층,효성,MOD-5236,2020-06-15,205.84,주의
EQ0216,펌프-6,변압기,공장B-1층,케이시,MOD-429,2020-01-07,157.57,정상
EQ0217,센서-7,냉각기,공장A-2층,두산중공업,MOD-3740,2020-12-17,279.38,정상
EQ0218,분사기-8,냉각기,창고-1층,두산중공업,MOD-8082,2020-05-26,421.38,주의
EQ0219,컴프레서-9,모터,공장A-2층,두산중공업,MOD-4207,2020-08-20,175.87,정상
EQ0220,센서-10,제어판,공장A-1층,케이시,MOD-1441,2020-05-04,474.07,정상
EQ0221,펌프-11,밸브,창고-1층,효성,MOD-8507,2020-12-12,443.0,주의
EQ0222,제어판-12,냉각기,공장A-2층,효성,MOD-438,2020-04-28,122.79,부분결함
EQ0223,제어판-13,밸브,공장B-2층,두산중공업,MOD-5995,2020-08-18,403.82,주의
EQ0224,컴프레서-14,냉각기,공장A-3층,현대중공업,MOD-2808,2020-01-19,308.56,주의
EQ0225,분사기-15,분사기,공장A-1층,LS산전,MOD-1850,2020-09-04,304.96,부분결함
EQ0226,변압기-16,제어판,공장A-2층,케이시,MOD-5704,2020-10-21,225.97,정상
EQ0227,모터-17,분사기,공장A-1층,LS산전,MOD-2521,2020-02-04,275.52,정상
EQ0228,분사기-18,냉각기,창고-2층,LS산전,MOD-7219,2020-02-15,228.73,부분결함
EQ0229,변압기-19,변압기,공장A-1층,효성,MOD-9001,2020-02-04,292.88,정상
EQ0230,제어판-20,변압기,창고-1층,효성,MOD-5419,2020-06-07,332.58,주의
EQ0231,밸브-21,분사기,창고-2층,현대중공업,MOD-6709,2020-10-19,353.44,정상
EQ0232,펌프-22,변압기,창고-1층,LS산전,MOD-5487,2020-03-26,289.62,정상
EQ0233,컴프레서-23,냉각기,공장A-3층,LS산전,MOD-4093,2020-06-12,374.64,주의
EQ0234,펌프-24,모터,창고-2층,두산중공업,MOD-8780,2020-03-13,113.58,부분결함
EQ0235,냉각기-25,분사기,공장B-2층,효성,MOD-8144,2020-02-08,145.39,주의
EQ0236,냉각기-26,컴프레서,공장A-1층,LS산전,MOD-8338,2020-05-15,418.43,정상
EQ0237,분사기-27,제어판,공장A-2층,한화Q셀,MOD-4973,2020-01-03,195.14,경고
EQ0238,제어판-28,변압기,공장B-1층,현대중공업,MOD-4906,2020-10-08,60.3,정상
EQ0239,제어판-29,변압기,공장A-1층,한화Q셀,MOD-8692,2020-04-16,119.21,정상
EQ0240,모터-30,펌프,공장A-1층,한화Q셀,MOD-6013,2020-07-10,150.63,정상
EQ0241,모터-1,열교환기,공장A-3층,케이시,MOD-7224,2020-12-14,480.8,정상
EQ0242,모터-2,분사기,공장B-2층,케이시,MOD-3257,2020-02-23,307.87,정상
EQ0243,밸브-3,센서,공장B-1층,현대중공업,MOD-490,2020-05-05,469.73,부분결함
EQ0244,센서-4,변압기,창고-2층,한화Q셀,MOD-4530,2020-06-13,308.82,주의
EQ0245,열교환기-5,제어판,창고-2층,LS산전,MOD-8920,2020-09-22,265.71,주의
EQ0246,센서-6,컴프레서,창고-2층,효성,MOD-7786,2020-12-15,191.18,정상
EQ0247,펌프-7,변압기,창고-1층,현대중공업,MOD-4332,2020-08-07,322.87,부분결함
EQ0248,센서-8,컴프레서,창고-1층,두산중공업,MOD-8107,2020-09-20,112.64,부분결함
EQ0249,밸브-9,냉각기,공장A-2층,한화Q셀,MOD-1621,2020-02-07,454.22,주의
EQ0250,펌프-10,냉각기,공장B-1층,현대중공업,MOD-9118,2020-06-17,423.2,정상
EQ0251,센서-11,열교환기,창고-2층,삼성중공업,MOD-1600,2020-11-25,192.89,정상
EQ0252,밸브-12,모터,창고-1층,삼성중공업,MOD-6837,2020-09-28,478.76,정상
EQ0253,열교환기-13,센서,공장A-2층,케이시,MOD-3394,2020-02-03,421.34,정상
EQ0254,센서-14,펌프,공장B-2층,효성,MOD-5185,2020-05-05,349.84,정상
EQ0255,밸브-15,열교환기,공장A-2층,LS산전,MOD-2519,2020-01-08,104.79,부분결함
EQ0256,모터-16,밸브,창고-1층,효성,MOD-9226,2020-12-24,265.21,정상
EQ0257,제어판-17,펌프,공장A-3층,효성,MOD-3142,2020-04-13,277.75,정상
EQ0258,모터-18,분사기,공장A-3층,효성,MOD-4597,2020-07-15,154.65,정상
EQ0259,제어판-19,제어판,창고-2층,효성,MOD-1566,2020-11-10,85.98,정상
EQ0260,컴프레서-20,밸브,공장A-3층,두산중공업,MOD-3661,2020-03-22,399.53,정상
EQ0261,컴프레서-21,밸브,창고-2층,두산중공업,MOD-714,2020-10-10,104.92,정상
EQ0262,컴프레서-22,열교환기,창고-2층,케이시,MOD-5492,2020-12-09,317.43,정상
EQ0263,열교환기-23,모터,창고-1층,현대중공업,MOD-7793,2020-01-05,471.4,주의
EQ0264,모터-24,열교환기,공장A-3층,삼성중공업,MOD-9474,2020-04-08,444.25,부분결함
EQ0265,제어판-25,분사기,창고-2층,효성,MOD-3323,2020-11-12,174.99,정상
EQ0266,밸브-26,변압기,공장B-1층,케이시,MOD-7238,2020-01-25,433.15,정상
EQ0267,펌프-27,변압기,공장B-2층,현대중공업,MOD-2767,2020-06-20,50.15,경고
EQ0268,밸브-28,모터,공장A-2층,삼성중공업,MOD-8080,2020-12-25,57.96,정상
EQ0269,펌프-29,분사기,공장A-2층,한화Q셀,MOD-230,2020-11-05,321.15,정상
EQ0270,냉각기-30,모터,창고-1층,LS산전,MOD-3083,2020-05-12,214.16,경고
EQ0271,밸브-1,컴프레서,공장A-3층,두산중공업,MOD-4378,2020-05-17,223.91,정상
EQ0272,센서-2,변압기,공장A-3층,한화Q셀,MOD-7226,2020-01-24,304.0,주의
EQ0273,센서-3,밸브,창고-2층,삼성중공업,MOD-8330,2020-12-24,136.3,정상
EQ0274,분사기-4,센서,공장A-1층,한화Q셀,MOD-7794,2020-12-15,145.29,정상
EQ0275,모터-5,제어판,창고-2층,LS산전,MOD-6740,2020-06-12,268.07,정상
EQ0276,펌프-6,분사기,공장B-2층,케이시,MOD-5568,2020-11-20,389.41,주의
EQ0277,펌프-7,펌프,공장B-1층,삼성중공업,MOD-1020,2020-02-14,328.77,정상
EQ0278,모터-8,모터,공장A-2층,한화Q셀,MOD-7664,2020-02-09,183.81,정상
EQ0279,열교환기-9,제어판,창고-2층,두산중공업,MOD-8784,2020-05-20,243.65,주의
EQ0280,분사기-10,펌프,공장A-1층,두산중공업,MOD-9423,2020-10-01,126.8,정상
