기기ID,유지보수일자,유지보수유형,작업내용,소요시간(시간),비용(원),담당자,완료상태
EQ0007,2023-10-08,개선정비,청소 및 점검,4,383082,정수현,완료
EQ0007,2023-10-19,사후정비,청소 및 점검,6,281535,최민준,완료
EQ0007,2024-02-18,사후정비,부품 교체,6,250473,최민준,완료
EQ0007,2024-04-12,응급정비,전기 점검,4,53062,정수현,완료
EQ0008,2023-05-22,응급정비,조정 및 수리,7,84782,김철수,완료
EQ0008,2023-10-18,예방정비,청소 및 점검,4,83152,정수현,완료
EQ0008,2024-01-04,예방정비,전기 점검,7,207855,최민준,완료
EQ0008,2024-05-16,개선정비,전기 점검,4,399033,김철수,완료
EQ0009,2023-04-08,개선정비,윤활유 교체,5,406335,김철수,완료
EQ0009,2023-07-15,개선정비,청소 및 점검,2,389373,정수현,예정
EQ0009,2023-07-21,사후정비,윤활유 교체,5,95318,이영희,완료
EQ0009,2024-01-01,예방정비,조정 및 수리,4,295131,박준호,완료
EQ0009,2024-08-19,사후정비,윤활유 교체,5,489288,정수현,완료
EQ0010,2023-03-22,응급정비,조정 및 수리,3,490998,최민준,완료
EQ0010,2023-07-03,개선정비,윤활유 교체,2,55334,이영희,완료
EQ0010,2023-11-21,개선정비,부품 교체,3,173556,정수현,진행중
EQ0010,2024-04-27,예방정비,청소 및 점검,6,377694,박준호,완료
EQ0010,2024-06-07,예방정비,윤활유 교체,3,122246,박준호,완료
EQ0010,2024-06-28,사후정비,청소 및 점검,3,163949,김철수,완료
EQ0011,2023-03-01,예방정비,청소 및 점검,5,149427,정수현,완료
EQ0011,2023-08-09,사후정비,전기 점검,7,265716,이영희,완료
EQ0011,2024-07-28,사후정비,윤활유 교체,6,64853,정수현,완료
EQ0012,2023-02-22,사후정비,조정 및 수리,5,475445,박준호,완료
EQ0012,2023-03-24,예방정비,전기 점검,2,414793,정수현,완료
EQ0012,2023-04-01,개선정비,청소 및 점검,1,90452,이영희,완료
EQ0012,2023-04-02,응급정비,전기 점검,3,228065,김철수,완료
EQ0012,2023-06-19,사후정비,조정 및 수리,3,439257,최민준,완료
EQ0012,2024-01-07,개선정비,부품 교체,5,88541,박준호,완료
EQ0012,2024-01-27,응급정비,청소 및 점검,1,64075,최민준,완료
EQ0012,2024-07-24,개선정비,부품 교체,3,482657,정수현,완료
EQ0013,2023-01-06,개선정비,청소 및 점검,7,135263,이영희,완료
EQ0013,2023-04-17,응급정비,윤활유 교체,7,343478,정수현,완료
EQ0013,2023-11-13,개선정비,윤활유 교체,2,413136,정수현,완료
EQ0013,2023-12-29,사후정비,부품 교체,5,464526,박준호,완료
EQ0013,2024-03-13,사후정비,부품 교체,7,130221,김철수,완료
EQ0013,2024-05-12,예방정비,부품 교체,1,63950,박준호,완료
EQ0014,2023-01-12,개선정비,부품 교체,3,460556,박준호,완료
EQ0014,2023-01-14,예방정비,조정 및 수리,1,285814,최민준,완료
EQ0014,2023-03-03,예방정비,전기 점검,4,463602,김철수,완료
EQ0014,2023-07-18,예방정비,조정 및 수리,7,180263,이영희,완료
EQ0014,2024-03-27,응급정비,청소 및 점검,1,216169,박준호,완료
EQ0014,2024-07-16,응급정비,청소 및 점검,5,401105,최민준,완료
EQ0015,2023-04-29,응급정비,조정 및 수리,1,305055,정수현,예정
EQ0015,2023-08-07,예방정비,청소 및 점검,3,317729,박준호,완료
EQ0015,2024-02-15,응급정비,부품 교체,3,369307,박준호,완료
EQ0015,2024-05-16,사후정비,청소 및 점검,6,300669,이영희,완료
EQ0016,2023-12-31,응급정비,조정 및 수리,7,105700,최민준,완료
EQ0016,2024-01-26,개선정비,부품 교체,1,288344,정수현,완료
EQ0017,2023-03-24,개선정비,윤활유 교체,7,86388,정수현,진행중
EQ0017,2023-07-24,사후정비,윤활유 교체,7,204782,최민준,완료
EQ0017,2023-08-13,예방정비,조정 및 수리,1,76111,정수현,완료
EQ0017,2023-08-30,개선정비,전기 점검,3,57472,박준호,진행중
EQ0018,2023-01-26,개선정비,조정 및 수리,2,447439,정수현,진행중
EQ0018,2023-10-28,예방정비,조정 및 수리,4,335259,김철수,진행중
EQ0018,2024-07-01,응급정비,부품 교체,6,356167,정수현,진행중
EQ0019,2023-05-21,응급정비,청소 및 점검,3,211172,김철수,진행중
EQ0019,2024-01-01,응급정비,조정 및 수리,6,214097,최민준,완료
EQ0020,2023-02-03,예방정비,부품 교체,1,128655,정수현,완료
EQ0020,2023-05-16,예방정비,청소 및 점검,2,137009,박준호,완료
EQ0020,2023-05-30,사후정비,조정 및 수리,1,452860,이영희,완료
EQ0020,2023-06-18,개선정비,부품 교체,7,355815,이영희,완료
EQ0020,2023-10-02,예방정비,윤활유 교체,4,224943,박준호,완료
EQ0020,2023-10-05,예방정비,부품 교체,7,162784,박준호,완료
EQ0020,2023-11-19,개선정비,전기 점검,7,260792,박준호,예정
EQ0020,2024-04-06,예방정비,윤활유 교체,7,248482,최민준,완료
EQ0021,2023-05-12,응급정비,윤활유 교체,3,196362,김철수,완료
EQ0021,2023-11-02,예방정비,청소 및 점검,1,137498,최민준,완료
EQ0022,2023-05-06,개선정비,윤활유 교체,6,335215,박준호,완료
EQ0022,2023-11-11,예방정비,청소 및 점검,5,102340,이영희,완료
EQ0022,2024-01-22,응급정비,윤활유 교체,7,317357,최민준,완료
EQ0022,2024-02-14,개선정비,부품 교체,1,144148,최민준,완료
EQ0022,2024-03-15,응급정비,전기 점검,5,387088,최민준,완료
EQ0022,2024-05-25,예방정비,부품 교체,2,444414,최민준,진행중
EQ0023,2023-01-06,사후정비,부품 교체,7,167177,김철수,진행중
EQ0023,2023-01-10,개선정비,조정 및 수리,4,471601,최민준,완료
EQ0023,2023-07-12,예방정비,윤활유 교체,6,191142,이영희,완료
EQ0023,2023-08-21,사후정비,조정 및 수리,2,299369,김철수,완료
EQ0023,2023-10-08,사후정비,윤활유 교체,7,456810,박준호,완료
EQ0023,2024-06-06,사후정비,조정 및 수리,5,336195,박준호,완료
EQ0024,2023-05-23,응급정비,전기 점검,7,453150,박준호,완료
EQ0024,2023-06-19,응급정비,청소 및 점검,7,67945,최민준,완료
EQ0024,2024-01-29,사후정비,청소 및 점검,1,398472,최민준,완료
EQ0024,2024-08-06,응급정비,청소 및 점검,5,451938,김철수,완료
EQ0025,2023-08-07,사후정비,윤활유 교체,6,306477,박준호,완료
EQ0025,2023-08-22,예방정비,부품 교체,2,105448,박준호,완료
EQ0025,2023-08-25,예방정비,전기 점검,4,239441,정수현,완료
EQ0025,2023-10-01,개선정비,부품 교체,2,371973,박준호,완료
EQ0025,2023-12-25,개선정비,전기 점검,4,381591,김철수,완료
EQ0025,2024-03-02,예방정비,윤활유 교체,7,259109,정수현,완료
EQ0025,2024-03-05,개선정비,전기 점검,4,283354,최민준,완료
EQ0025,2024-05-12,응급정비,부품 교체,4,107805,이영희,진행중
EQ0026,2023-02-03,사후정비,윤활유 교체,2,489072,박준호,예정
EQ0026,2024-01-11,개선정비,청소 및 점검,1,462498,최민준,완료
EQ0026,2024-01-24,개선정비,조정 및 수리,4,427164,이영희,진행중
EQ0026,2024-02-29,사후정비,전기 점검,1,389924,정수현,완료
EQ0026,2024-03-30,예방정비,조정 및 수리,7,487213,정수현,완료
EQ0026,2024-06-18,개선정비,부품 교체,5,310769,박준호,완료
EQ0026,2024-07-24,개선정비,부품 교체,6,139547,박준호,완료
EQ0027,2023-09-13,개선정비,부품 교체,2,469685,이영희,완료
EQ0027,2024-01-08,응급정비,전기 점검,3,252517,최민준,완료
EQ0027,2024-01-19,개선정비,조정 및 수리,6,115196,최민준,완료
EQ0027,2024-04-09,사후정비,부품 교체,1,443931,최민준,완료
EQ0027,2024-08-15,개선정비,윤활유 교체,7,396397,박준호,완료
EQ0028,2023-09-23,사후정비,윤활유 교체,5,425796,박준호,완료
EQ0028,2024-01-27,예방정비,청소 및 점검,4,124843,최민준,완료
EQ0029,2023-04-11,개선정비,윤활유 교체,2,393045,김철수,진행중
EQ0029,2023-09-28,예방정비,부품 교체,3,308516,박준호,완료
EQ0029,2024-01-11,예방정비,전기 점검,5,326389,박준호,완료
EQ0029,2024-01-21,개선정비,전기 점검,6,316104,박준호,완료
EQ0029,2024-02-11,응급정비,전기 점검,2,165517,이영희,완료
EQ0030,2023-03-01,개선정비,청소 및 점검,1,468452,최민준,완료
EQ0030,2023-03-26,개선정비,부품 교체,2,264867,김철수,완료
EQ0030,2023-05-26,예방정비,조정 및 수리,4,153026,김철수,완료
EQ0030,2023-12-16,예방정비,조정 및 수리,4,411757,박준호,완료
EQ0030,2024-01-13,예방정비,윤활유 교체,3,377296,정수현,완료
EQ0030,2024-05-02,개선정비,윤활유 교체,4,191798,김철수,완료
EQ0030,2024-05-21,응급정비,조정 및 수리,6,499118,박준호,완료
EQ0031,2023-01-19,예방정비,전기 점검,3,463855,최민준,완료
EQ0031,2023-02-18,예방정비,부품 교체,7,257506,이영희,완료
EQ0031,2023-03-05,응급정비,전기 점검,6,94560,정수현,진행중
EQ0031,2023-05-17,사후정비,윤활유 교체,2,370979,김철수,완료
EQ0031,2023-07-10,개선정비,윤활유 교체,1,328254,김철수,완료
EQ0031,2023-08-22,예방정비,전기 점검,7,407978,최민준,완료
EQ0031,2023-09-14,개선정비,청소 및 점검,4,123533,이영희,진행중
EQ0031,2024-07-08,사후정비,청소 및 점검,5,401420,박준호,완료
EQ0032,2023-02-05,사후정비,부품 교체,7,243666,김철수,완료
EQ0032,2023-02-05,사후정비,청소 및 점검,2,118702,이영희,진행중
EQ0032,2023-05-17,개선정비,조정 및 수리,4,327034,이영희,진행중
EQ0032,2023-06-16,응급정비,부품 교체,1,302138,정수현,완료
EQ0032,2023-07-05,예방정비,윤활유 교체,2,260582,정수현,완료
EQ0032,2023-12-22,응급정비,조정 및 수리,2,104040,이영희,완료
EQ0033,2023-01-19,예방정비,조정 및 수리,5,390740,이영희,완료
EQ0033,2023-10-05,응급정비,조정 및 수리,6,89387,최민준,완료
EQ0033,2024-05-02,사후정비,윤활유 교체,4,307789,김철수,완료
EQ0033,2024-05-29,개선정비,청소 및 점검,4,172349,정수현,완료
EQ0034,2023-01-04,응급정비,전기 점검,2,175298,최민준,완료
EQ0034,2023-10-23,응급정비,윤활유 교체,3,188769,최민준,완료
EQ0034,2023-12-10,개선정비,청소 및 점검,5,117957,이영희,완료
EQ0034,2024-02-02,개선정비,윤활유 교체,5,229819,이영희,완료
EQ0034,2024-03-31,사후정비,부품 교체,1,466191,이영희,완료
EQ0034,2024-05-27,응급정비,조정 및 수리,3,404449,김철수,진행중
EQ0034,2024-06-19,개선정비,부품 교체,6,219511,정수현,완료
EQ0035,2023-04-20,예방정비,부품 교체,3,428278,이영희,완료
EQ0035,2023-05-30,사후정비,청소 및 점검,4,141991,최민준,완료
EQ0035,2023-08-31,개선정비,청소 및 점검,2,318212,김철수,완료
EQ0035,2024-03-23,응급정비,부품 교체,5,297279,이영희,완료
EQ0035,2024-03-28,사후정비,윤활유 교체,6,226120,이영희,완료
EQ0036,2023-03-21,사후정비,조정 및 수리,2,142438,정수현,완료
EQ0036,2023-05-31,사후정비,조정 및 수리,4,59070,최민준,완료
EQ0036,2023-06-21,응급정비,윤활유 교체,1,334171,김철수,완료
EQ0036,2023-12-05,예방정비,윤활유 교체,2,343270,이영희,진행중
EQ0036,2024-01-03,응급정비,조정 및 수리,6,411035,최민준,완료
EQ0036,2024-08-07,사후정비,전기 점검,4,148172,김철수,완료
EQ0037,2023-02-05,사후정비,전기 점검,3,479940,이영희,완료
EQ0037,2023-05-04,응급정비,부품 교체,6,95102,김철수,완료
EQ0037,2023-08-21,사후정비,전기 점검,1,233308,최민준,완료
EQ0037,2024-01-19,예방정비,윤활유 교체,7,320651,김철수,예정
EQ0037,2024-04-07,사후정비,부품 교체,7,285479,김철수,완료
EQ0038,2023-01-01,예방정비,윤활유 교체,2,284154,박준호,완료
EQ0038,2023-01-21,사후정비,부품 교체,1,202270,최민준,완료
EQ0038,2023-12-15,예방정비,조정 및 수리,3,221064,이영희,완료
EQ0038,2024-01-17,응급정비,전기 점검,3,106439,정수현,완료
EQ0038,2024-06-03,사후정비,청소 및 점검,2,340577,최민준,완료
EQ0039,2023-08-25,사후정비,전기 점검,3,354561,김철수,완료
EQ0039,2023-09-10,개선정비,조정 및 수리,1,268364,박준호,완료
EQ0039,2023-11-23,사후정비,부품 교체,4,326849,이영희,완료
EQ0039,2024-01-02,사후정비,조정 및 수리,2,494306,박준호,진행중
EQ0039,2024-03-20,개선정비,청소 및 점검,4,112977,김철수,완료
EQ0039,2024-04-19,사후정비,청소 및 점검,1,128508,김철수,완료
EQ0039,2024-05-30,예방정비,청소 및 점검,5,418637,박준호,완료
EQ0040,2023-01-10,예방정비,조정 및 수리,4,94377,이영희,진행중
EQ0040,2023-03-23,사후정비,윤활유 교체,3,70575,김철수,완료
EQ0040,2023-08-04,응급정비,전기 점검,3,262213,정수현,완료
EQ0040,2023-11-07,개선정비,청소 및 점검,5,463710,최민준,진행중
EQ0040,2024-01-04,예방정비,전기 점검,2,92120,이영희,완료
EQ0040,2024-06-04,예방정비,조정 및 수리,5,183662,이영희,완료
EQ0041,2024-02-25,예방정비,부품 교체,3,70936,박준호,완료
EQ0041,2024-02-28,응급정비,부품 교체,3,194843,김철수,완료
EQ0042,2023-02-23,응급정비,부품 교체,6,324173,정수현,완료
EQ0042,2023-03-29,사후정비,부품 교체,6,437166,정수현,완료
EQ0042,2023-07-07,응급정비,청소 및 점검,2,189355,정수현,진행중
EQ0042,2023-12-02,사후정비,청소 및 점검,3,161477,정수현,예정
EQ0042,2024-01-05,예방정비,청소 및 점검,3,86822,김철수,완료
EQ0042,2024-07-17,사후정비,청소 및 점검,3,405269,정수현,완료
EQ0043,2024-04-06,예방정비,조정 및 수리,2,480282,최민준,완료
EQ0043,2024-07-30,사후정비,전기 점검,4,384393,최민준,완료
EQ0044,2023-01-27,사후정비,전기 점검,7,429928,이영희,완료
EQ0044,2023-09-25,사후정비,부품 교체,5,445627,박준호,완료
EQ0045,2023-03-03,사후정비,전기 점검,5,198694,박준호,완료
EQ0045,2023-05-06,예방정비,전기 점검,5,363269,정수현,예정
EQ0045,2023-09-09,개선정비,조정 및 수리,1,113917,최민준,완료
EQ0045,2023-09-11,예방정비,청소 및 점검,3,442758,김철수,완료
EQ0045,2024-03-31,응급정비,부품 교체,5,297142,최민준,완료
EQ0045,2024-07-30,사후정비,조정 및 수리,4,410408,최민준,완료
EQ0046,2023-06-14,사후정비,전기 점검,7,140162,김철수,진행중
EQ0046,2023-07-15,사후정비,부품 교체,2,291090,최민준,완료
EQ0046,2023-08-11,사후정비,전기 점검,7,177048,김철수,완료
EQ0046,2024-01-03,응급정비,청소 및 점검,4,65948,이영희,완료
EQ0046,2024-03-10,예방정비,청소 및 점검,1,396048,정수현,완료
EQ0046,2024-07-07,응급정비,전기 점검,7,152601,최민준,완료
EQ0046,2024-07-19,개선정비,청소 및 점검,7,450819,최민준,완료
EQ0047,2023-03-13,예방정비,청소 및 점검,4,292950,정수현,완료
EQ0047,2023-04-15,예방정비,전기 점검,1,165754,최민준,완료
EQ0047,2023-10-20,응급정비,청소 및 점검,3,248155,이영희,완료
EQ0047,2023-11-07,사후정비,전기 점검,7,439091,정수현,완료
EQ0047,2023-12-14,사후정비,조정 및 수리,2,68231,박준호,완료
EQ0047,2024-02-24,응급정비,윤활유 교체,7,229702,이영희,완료
EQ0047,2024-05-23,응급정비,윤활유 교체,6,135643,최민준,예정
EQ0048,2023-04-20,응급정비,윤활유 교체,5,405203,이영희,완료
EQ0048,2023-06-08,개선정비,전기 점검,2,363686,박준호,완료
EQ0048,2023-08-07,예방정비,윤활유 교체,4,310117,이영희,완료
EQ0048,2023-09-29,예방정비,조정 및 수리,6,312353,박준호,완료
EQ0048,2023-11-25,응급정비,부품 교체,1,371874,박준호,완료
EQ0048,2024-01-11,예방정비,부품 교체,2,393259,최민준,진행중
EQ0048,2024-02-01,응급정비,전기 점검,1,177215,최민준,완료
EQ0048,2024-07-13,예방정비,부품 교체,6,321312,최민준,완료
EQ0049,2023-02-18,개선정비,윤활유 교체,7,187245,정수현,완료
EQ0049,2023-05-14,사후정비,전기 점검,4,215438,최민준,완료
EQ0049,2024-06-29,예방정비,윤활유 교체,2,157083,정수현,완료
EQ0050,2023-04-09,예방정비,윤활유 교체,5,228217,최민준,완료
EQ0050,2024-05-26,예방정비,조정 및 수리,7,91971,김철수,완료
EQ0050,2024-07-22,응급정비,청소 및 점검,4,63937,최민준,완료
EQ0051,2023-03-21,사후정비,청소 및 점검,4,359750,이영희,예정
EQ0051,2023-03-24,사후정비,청소 및 점검,3,267776,정수현,완료
EQ0051,2023-11-07,응급정비,전기 점검,2,227042,박준호,완료
EQ0051,2023-12-18,예방정비,윤활유 교체,6,492563,정수현,완료
EQ0051,2024-01-23,예방정비,부품 교체,5,101055,최민준,완료
EQ0052,2023-04-04,응급정비,조정 및 수리,4,129942,김철수,완료
EQ0052,2023-12-11,사후정비,조정 및 수리,3,137597,박준호,예정
EQ0052,2024-01-02,응급정비,조정 및 수리,6,305385,박준호,진행중
EQ0052,2024-06-11,사후정비,전기 점검,1,303199,김철수,진행중
EQ0052,2024-08-07,응급정비,부품 교체,6,329509,최민준,완료
EQ0053,2023-02-13,사후정비,청소 및 점검,3,234887,이영희,예정
EQ0053,2023-05-31,개선정비,전기 점검,3,253612,정수현,완료
EQ0053,2023-08-05,예방정비,윤활유 교체,3,90664,박준호,완료
EQ0053,2023-12-06,사후정비,조정 및 수리,7,444272,최민준,완료
EQ0053,2023-12-23,사후정비,조정 및 수리,6,151483,정수현,완료
EQ0053,2024-03-19,사후정비,청소 및 점검,1,457357,박준호,예정
EQ0053,2024-05-27,예방정비,청소 및 점검,5,146544,최민준,완료
EQ0053,2024-05-28,사후정비,전기 점검,6,494400,박준호,예정
EQ0054,2023-03-25,응급정비,윤활유 교체,7,170542,김철수,진행중
EQ0054,2023-04-11,예방정비,전기 점검,7,426731,김철수,완료
EQ0054,2023-12-05,예방정비,부품 교체,4,210236,이영희,완료
EQ0054,2023-12-12,사후정비,윤활유 교체,7,423814,최민준,완료
EQ0054,2024-02-17,사후정비,조정 및 수리,6,84337,정수현,완료
EQ0054,2024-08-04,응급정비,조정 및 수리,3,56044,이영희,완료
EQ0055,2023-03-28,사후정비,청소 및 점검,4,317466,정수현,진행중
EQ0055,2023-06-04,사후정비,청소 및 점검,2,194909,김철수,완료
EQ0055,2023-12-23,개선정비,부품 교체,5,302020,정수현,완료
EQ0055,2024-04-10,예방정비,윤활유 교체,4,129459,정수현,완료
EQ0055,2024-06-12,예방정비,조정 및 수리,1,134732,최민준,완료
EQ0055,2024-07-04,사후정비,윤활유 교체,7,319719,최민준,완료
EQ0055,2024-07-14,예방정비,부품 교체,7,208539,김철수,완료
EQ0056,2023-05-12,예방정비,부품 교체,4,373960,최민준,완료
EQ0056,2023-12-05,응급정비,윤활유 교체,5,179335,김철수,완료
EQ0056,2024-01-25,예방정비,부품 교체,1,188703,정수현,완료
EQ0056,2024-05-31,개선정비,청소 및 점검,7,109807,김철수,완료
EQ0057,2023-04-15,개선정비,윤활유 교체,5,302987,최민준,완료
EQ0057,2023-05-21,응급정비,조정 및 수리,2,60047,김철수,완료
EQ0057,2023-07-31,개선정비,전기 점검,7,147519,김철수,완료
EQ0057,2023-11-04,응급정비,전기 점검,1,202871,박준호,완료
EQ0058,2023-03-14,예방정비,청소 및 점검,1,56476,김철수,완료
EQ0058,2023-04-16,예방정비,부품 교체,1,139976,이영희,완료
EQ0058,2023-06-06,응급정비,청소 및 점검,7,341211,정수현,완료
EQ0058,2023-10-09,응급정비,전기 점검,4,203573,이영희,완료
EQ0058,2023-11-02,사후정비,전기 점검,6,472139,박준호,진행중
EQ0058,2024-07-20,개선정비,조정 및 수리,3,478534,최민준,완료
EQ0059,2023-05-28,예방정비,윤활유 교체,2,150434,이영희,예정
EQ0059,2023-09-28,사후정비,청소 및 점검,4,189097,정수현,예정
EQ0059,2024-03-28,개선정비,조정 및 수리,4,325048,이영희,완료
EQ0060,2024-01-18,개선정비,전기 점검,7,359061,박준호,완료
EQ0060,2024-03-12,응급정비,조정 및 수리,3,252811,김철수,완료
EQ0060,2024-03-26,사후정비,조정 및 수리,7,317868,박준호,완료
EQ0060,2024-04-16,개선정비,윤활유 교체,3,55817,최민준,완료
EQ0060,2024-06-02,사후정비,부품 교체,4,410713,박준호,완료
EQ0061,2023-07-31,예방정비,조정 및 수리,1,308474,최민준,완료
EQ0061,2023-12-13,개선정비,청소 및 점검,7,441238,정수현,완료
EQ0061,2024-02-22,응급정비,청소 및 점검,1,369925,김철수,완료
EQ0061,2024-06-29,사후정비,부품 교체,5,399576,최민준,완료
EQ0062,2023-03-12,사후정비,청소 및 점검,4,363419,박준호,완료
EQ0062,2023-04-05,응급정비,부품 교체,4,102268,이영희,진행중
EQ0062,2023-08-16,사후정비,청소 및 점검,2,275985,이영희,완료
EQ0062,2024-01-18,예방정비,청소 및 점검,7,103492,정수현,완료
EQ0062,2024-03-06,응급정비,전기 점검,1,340250,정수현,완료
EQ0062,2024-04-20,응급정비,조정 및 수리,2,246087,정수현,진행중
EQ0062,2024-07-17,예방정비,조정 및 수리,7,454088,박준호,완료
EQ0062,2024-08-06,사후정비,윤활유 교체,5,137743,최민준,완료
EQ0063,2023-01-03,사후정비,부품 교체,4,423142,이영희,완료
EQ0063,2023-07-25,예방정비,청소 및 점검,1,71497,이영희,완료
EQ0063,2023-08-03,예방정비,청소 및 점검,4,283082,이영희,완료
EQ0063,2023-08-18,예방정비,윤활유 교체,5,479932,박준호,완료
EQ0063,2023-12-15,응급정비,윤활유 교체,6,225101,박준호,완료
EQ0063,2024-05-22,사후정비,조정 및 수리,5,365560,김철수,완료
EQ0064,2023-01-22,사후정비,청소 및 점검,4,71775,이영희,진행중
EQ0064,2023-04-05,개선정비,조정 및 수리,2,136465,이영희,완료
EQ0064,2023-10-05,개선정비,전기 점검,1,459320,이영희,완료
EQ0064,2023-11-09,개선정비,부품 교체,4,240588,박준호,완료
EQ0064,2024-03-16,사후정비,청소 및 점검,5,492821,최민준,완료
EQ0064,2024-04-01,응급정비,청소 및 점검,7,74946,김철수,진행중
EQ0064,2024-04-20,예방정비,부품 교체,2,474252,이영희,완료
EQ0064,2024-06-24,개선정비,윤활유 교체,6,63635,이영희,완료
EQ0065,2023-08-06,예방정비,조정 및 수리,3,128254,김철수,완료
EQ0065,2023-08-24,개선정비,윤활유 교체,6,155351,박준호,완료
EQ0065,2024-01-04,예방정비,부품 교체,1,109003,정수현,완료
EQ0065,2024-04-13,응급정비,청소 및 점검,5,124852,이영희,완료
EQ0065,2024-08-09,개선정비,전기 점검,2,458914,이영희,완료
EQ0066,2023-02-22,응급정비,전기 점검,4,233068,정수현,진행중
EQ0066,2023-07-07,예방정비,조정 및 수리,5,321449,정수현,완료
EQ0066,2023-07-29,응급정비,청소 및 점검,4,100975,박준호,완료
EQ0066,2023-08-21,개선정비,전기 점검,5,83430,최민준,완료
EQ0066,2023-10-23,사후정비,윤활유 교체,1,253125,김철수,예정
EQ0066,2024-03-23,사후정비,윤활유 교체,3,249105,이영희,완료
EQ0066,2024-03-31,사후정비,부품 교체,1,345927,박준호,완료
EQ0067,2023-04-03,사후정비,전기 점검,1,224430,정수현,완료
EQ0067,2023-06-13,사후정비,조정 및 수리,2,65622,이영희,완료
EQ0067,2024-04-30,개선정비,부품 교체,5,289885,최민준,완료
EQ0068,2023-04-27,사후정비,윤활유 교체,4,436934,이영희,진행중
EQ0068,2023-12-24,예방정비,전기 점검,1,224311,최민준,완료
EQ0068,2024-06-20,예방정비,청소 및 점검,3,217275,박준호,진행중
EQ0068,2024-07-13,예방정비,전기 점검,2,365993,이영희,완료
EQ0068,2024-08-16,사후정비,조정 및 수리,6,380105,김철수,완료
EQ0069,2023-06-08,예방정비,윤활유 교체,3,212348,김철수,완료
EQ0069,2023-07-17,개선정비,조정 및 수리,6,281042,정수현,완료
EQ0069,2023-08-30,예방정비,윤활유 교체,6,100324,김철수,완료
EQ0069,2023-11-26,개선정비,전기 점검,6,468144,최민준,진행중
EQ0070,2024-02-17,응급정비,윤활유 교체,1,97674,최민준,완료
EQ0070,2024-08-01,사후정비,전기 점검,1,317165,최민준,진행중
EQ0071,2023-03-02,사후정비,조정 및 수리,7,417533,정수현,완료
EQ0071,2023-03-20,사후정비,조정 및 수리,5,464666,이영희,완료
EQ0071,2023-05-09,개선정비,윤활유 교체,4,186671,정수현,완료
EQ0071,2023-05-09,예방정비,청소 및 점검,7,143219,김철수,완료
EQ0071,2023-06-12,개선정비,청소 및 점검,1,329405,김철수,완료
EQ0071,2023-08-03,개선정비,전기 점검,1,440612,박준호,완료
