연월,기기ID,가동시간(시간),평균온도(℃),평균압력(bar),에러발생횟수,종합상태
2023-02,EQ0027,648.04,45.9,7.89,3,주의
2023-02,EQ0028,757.99,45.1,8.46,4,정상
2023-02,EQ0029,588.48,39.6,5.98,0,정상
2023-02,EQ0032,327.81,48.4,4.79,1,주의
2023-02,EQ0033,509.07,60.0,9.54,4,정상
2023-02,EQ0034,205.71,27.5,4.81,4,주의
2023-02,EQ0038,370.94,25.4,3.25,1,정상
2023-02,EQ0039,743.89,22.9,6.44,0,정상
2023-02,EQ0041,486.55,33.5,9.18,4,정상
2023-02,EQ0042,567.24,58.1,3.31,1,정상
2023-02,EQ0043,684.75,47.6,2.0,1,정상
2023-02,EQ0044,347.4,57.0,4.21,4,정상
2023-02,EQ0047,232.63,45.1,4.75,4,정상
2023-02,EQ0048,516.38,27.8,1.97,0,정상
2023-02,EQ0052,260.11,44.9,5.22,4,정상
2023-02,EQ0055,744.1,23.5,4.7,2,주의
2023-02,EQ0056,355.84,38.7,7.25,3,정상
2023-02,EQ0057,375.74,30.2,8.03,3,정상
2023-02,EQ0058,642.32,20.9,1.54,0,정상
2023-02,EQ0060,333.32,55.2,7.07,4,주의
2023-02,EQ0061,557.37,22.4,2.58,2,정상
2023-02,EQ0062,393.62,42.3,4.5,0,경고
2023-02,EQ0064,683.27,48.9,8.09,0,정상
2023-02,EQ0065,558.04,26.8,8.85,0,주의
2023-02,EQ0067,439.65,31.7,2.52,0,정상
2023-02,EQ0069,555.89,44.4,3.15,0,정상
2023-02,EQ0070,378.98,57.7,9.85,4,정상
2023-02,EQ0071,329.61,51.7,3.43,2,정상
2023-02,EQ0072,439.54,53.0,8.6,2,정상
2023-02,EQ0073,212.72,43.1,2.35,0,정상
2023-02,EQ0074,620.27,38.6,9.56,3,정상
2023-02,EQ0075,263.91,39.7,1.14,2,정상
2023-02,EQ0077,592.22,39.0,7.69,4,정상
2023-02,EQ0079,375.38,30.7,5.38,0,정상
2023-02,EQ0080,510.21,41.0,2.08,1,경고
2023-02,EQ0083,536.81,36.0,8.26,3,주의
2023-02,EQ0085,479.57,47.1,5.43,2,정상
2023-02,EQ0086,614.57,49.6,1.29,1,정상
2023-02,EQ0087,585.32,20.1,7.4,0,정상
2023-02,EQ0089,356.65,55.9,6.64,2,정상
2023-02,EQ0094,227.55,28.7,4.67,3,정상
2023-02,EQ0098,543.05,26.2,8.67,0,정상
2023-02,EQ0101,617.04,28.5,8.17,3,정상
2023-02,EQ0102,343.47,37.6,3.64,2,정상
2023-02,EQ0104,576.06,52.4,2.91,2,정상
2023-02,EQ0107,547.46,45.9,1.36,0,정상
2023-02,EQ0109,214.48,45.0,8.16,3,경고
2023-02,EQ0113,380.36,26.8,5.6,1,정상
2023-02,EQ0114,623.56,55.8,5.44,3,정상
2023-02,EQ0115,534.75,24.6,1.24,3,정상
2023-02,EQ0120,215.42,36.1,2.99,4,정상
2023-02,EQ0123,689.22,21.4,3.85,3,정상
2023-02,EQ0124,336.29,28.2,7.33,3,정상
2023-02,EQ0125,558.86,56.5,2.31,3,정상
2023-02,EQ0128,491.05,31.0,3.69,0,정상
2023-02,EQ0129,756.4,37.3,2.5,1,정상
2023-02,EQ0130,448.55,45.1,5.62,4,정상
2023-02,EQ0135,711.29,27.3,3.52,1,정상
2023-02,EQ0139,319.22,25.2,6.5,2,정상
2023-02,EQ0140,253.8,48.4,4.51,1,주의
2023-02,EQ0143,258.74,29.4,4.21,2,정상
2023-02,EQ0145,358.24,58.2,8.76,2,주의
2023-02,EQ0146,719.13,31.6,7.08,0,정상
2023-02,EQ0150,420.47,22.9,7.64,4,정상
2023-02,EQ0151,704.51,47.1,8.92,2,정상
2023-02,EQ0152,640.13,35.5,8.46,3,정상
2023-02,EQ0153,304.14,39.2,1.83,3,정상
2023-02,EQ0155,760.44,43.6,3.16,2,정상
2023-02,EQ0156,732.54,55.0,8.76,0,정상
2023-02,EQ0157,293.9,42.5,3.16,4,정상
2023-02,EQ0158,301.32,57.4,5.09,2,경고
2023-02,EQ0160,602.59,39.3,5.56,1,정상
2023-02,EQ0166,651.51,30.4,8.33,3,정상
2023-02,EQ0167,665.27,54.8,5.11,3,정상
2023-02,EQ0168,403.62,38.9,3.71,2,정상
2023-02,EQ0169,381.8,29.2,3.01,2,정상
2023-02,EQ0175,784.01,28.0,8.04,2,정상
2023-02,EQ0176,204.08,25.3,6.21,3,경고
2023-02,EQ0177,405.63,30.1,4.91,2,정상
2023-02,EQ0178,612.45,59.7,9.27,1,주의
2023-02,EQ0180,757.31,53.0,3.3,3,정상
2023-02,EQ0182,400.08,56.4,6.5,4,정상
2023-02,EQ0185,476.83,41.3,3.37,3,정상
2023-02,EQ0187,558.6,52.4,1.58,0,주의
2023-02,EQ0189,546.87,40.5,9.78,0,정상
2023-02,EQ0192,501.67,33.6,3.98,3,정상
2023-02,EQ0200,270.15,31.9,3.82,4,주의
2023-02,EQ0202,542.57,46.6,5.5,1,정상
2023-02,EQ0205,401.26,43.6,7.96,3,정상
2023-02,EQ0206,374.79,25.9,9.95,3,정상
2023-02,EQ0209,376.86,54.4,7.2,4,주의
2023-02,EQ0211,394.31,32.4,8.2,4,정상
2023-02,EQ0213,791.81,52.7,7.57,4,정상
2023-02,EQ0214,353.44,44.9,1.55,4,정상
2023-02,EQ0215,467.62,25.0,1.77,0,주의
2023-02,EQ0216,331.53,56.1,8.59,1,정상
2023-02,EQ0218,435.72,48.3,7.59,4,경고
2023-02,EQ0220,676.33,53.7,9.66,4,경고
2023-02,EQ0221,655.87,59.1,8.09,0,정상
2023-02,EQ0222,729.2,42.7,2.14,4,주의
2023-02,EQ0223,323.08,25.9,7.28,1,주의
2023-02,EQ0224,355.3,46.4,1.92,3,주의
2023-02,EQ0226,764.94,36.9,6.41,1,정상
2023-02,EQ0229,445.38,39.1,1.95,1,정상
2023-02,EQ0230,602.19,21.2,2.66,1,경고
2023-02,EQ0232,460.35,49.3,6.57,3,정상
2023-02,EQ0233,690.91,43.3,1.82,0,정상
2023-02,EQ0237,332.85,35.1,8.68,4,주의
2023-02,EQ0240,271.72,30.9,7.14,4,정상
2023-02,EQ0241,417.5,35.0,4.88,4,주의
2023-02,EQ0243,554.82,43.5,8.83,4,정상
2023-02,EQ0249,735.87,58.0,4.77,2,정상
2023-02,EQ0255,793.51,27.4,4.07,2,정상
2023-02,EQ0258,213.0,27.4,2.68,0,정상
2023-02,EQ0259,320.98,25.1,5.75,3,주의
2023-02,EQ0260,497.49,57.1,1.76,3,정상
2023-02,EQ0261,738.51,40.3,5.25,0,정상
2023-02,EQ0262,462.67,54.3,4.53,4,주의
2023-02,EQ0266,483.3,53.7,9.97,0,정상
2023-02,EQ0267,675.16,31.3,3.6,4,경고
2023-02,EQ0269,645.9,24.2,6.27,1,정상
2023-02,EQ0270,723.82,34.3,4.39,2,정상
2023-02,EQ0272,660.92,45.7,6.33,2,정상
2023-02,EQ0273,795.03,59.2,4.01,3,정상
2023-02,EQ0276,275.14,34.2,8.22,4,정상
2023-02,EQ0279,255.3,38.1,4.4,2,경고
2023-02,EQ0280,592.94,21.7,3.73,1,정상
2023-02,EQ0283,630.95,49.9,7.83,1,정상
2023-02,EQ0284,233.27,20.5,1.34,0,주의
2023-02,EQ0285,450.34,30.4,2.06,1,정상
2023-02,EQ0287,373.09,33.2,2.96,4,정상
2023-02,EQ0288,555.16,24.9,1.68,1,정상
2023-02,EQ0289,222.47,43.4,1.03,0,경고
2023-02,EQ0291,385.92,48.7,2.76,2,정상
2023-02,EQ0297,527.18,37.3,6.01,2,주의
2023-03,EQ0006,511.42,57.3,5.82,4,정상
2023-03,EQ0009,569.86,22.6,3.66,3,정상
2023-03,EQ0012,409.5,24.4,7.78,2,정상
2023-03,EQ0013,429.07,21.2,8.44,3,정상
2023-03,EQ0015,201.62,39.5,9.36,0,정상
2023-03,EQ0017,466.35,21.8,5.5,3,정상
2023-03,EQ0018,484.44,35.2,8.15,4,주의
2023-03,EQ0019,210.21,35.8,8.11,2,정상
2023-03,EQ0020,568.19,34.7,7.91,1,정상
2023-03,EQ0021,692.0,43.6,8.75,0,정상
2023-03,EQ0025,412.03,27.7,8.63,0,정상
2023-03,EQ0026,649.72,45.5,3.72,2,정상
2023-03,EQ0028,788.97,25.6,3.0,4,경고
2023-03,EQ0029,305.63,28.1,7.92,2,정상
2023-03,EQ0031,776.73,36.7,4.31,4,정상
2023-03,EQ0032,222.72,52.3,9.79,2,정상
2023-03,EQ0033,223.56,51.6,6.83,2,정상
2023-03,EQ0034,430.56,45.2,2.74,4,경고
2023-03,EQ0035,457.74,45.1,8.41,1,정상
2023-03,EQ0041,596.04,54.4,1.86,1,정상
2023-03,EQ0043,701.67,49.2,3.88,2,정상
2023-03,EQ0047,790.51,32.6,6.45,2,정상
2023-03,EQ0048,657.93,27.6,1.6,2,주의
2023-03,EQ0050,771.9,29.5,2.16,4,정상
2023-03,EQ0051,243.85,39.3,5.67,2,정상
2023-03,EQ0052,449.64,38.7,6.64,0,정상
2023-03,EQ0053,481.29,21.8,4.09,2,경고
2023-03,EQ0054,534.67,39.1,2.94,1,정상
2023-03,EQ0055,224.81,49.8,9.83,2,정상
2023-03,EQ0057,299.21,25.9,4.85,2,정상
2023-03,EQ0058,307.91,21.2,4.01,3,정상
2023-03,EQ0064,427.17,28.7,2.79,3,경고
2023-03,EQ0065,412.66,38.6,1.58,4,정상
2023-03,EQ0067,788.93,41.6,2.73,3,정상
2023-03,EQ0069,525.61,54.7,5.08,3,주의
2023-03,EQ0073,784.59,57.8,8.91,4,정상
2023-03,EQ0075,547.94,48.2,8.32,1,주의
2023-03,EQ0076,302.34,37.0,9.64,3,정상
2023-03,EQ0078,270.69,54.0,1.64,0,정상
2023-03,EQ0080,643.54,48.5,1.72,1,경고
2023-03,EQ0084,423.9,36.1,8.54,0,정상
2023-03,EQ0086,756.03,30.2,4.59,0,정상
2023-03,EQ0087,356.06,32.9,4.07,4,경고
2023-03,EQ0088,646.35,43.2,4.22,2,정상
2023-03,EQ0090,485.25,26.5,1.81,0,정상
2023-03,EQ0091,660.51,23.9,6.04,3,주의
2023-03,EQ0093,392.63,29.7,4.57,3,정상
2023-03,EQ0095,294.65,30.9,1.91,0,정상
2023-03,EQ0096,468.06,24.5,6.75,0,경고
2023-03,EQ0099,752.92,31.5,5.26,2,정상
2023-03,EQ0100,456.89,59.1,4.01,4,정상
2023-03,EQ0101,591.25,35.1,8.04,0,정상
2023-03,EQ0102,693.58,34.5,4.89,0,정상
2023-03,EQ0105,405.18,50.7,2.25,1,정상
2023-03,EQ0107,250.16,33.8,1.42,1,정상
2023-03,EQ0110,596.43,35.0,2.32,4,정상
2023-03,EQ0112,605.33,34.8,2.56,3,정상
2023-03,EQ0113,770.94,28.9,2.99,2,정상
2023-03,EQ0114,514.42,23.1,1.0,1,정상
2023-03,EQ0115,453.26,20.7,6.59,2,주의
2023-03,EQ0117,593.48,59.8,7.98,2,정상
2023-03,EQ0120,235.78,32.2,3.83,3,주의
2023-03,EQ0121,556.02,54.6,8.5,0,정상
2023-03,EQ0124,330.93,44.5,2.93,1,경고
2023-03,EQ0125,575.34,39.1,9.99,4,정상
2023-03,EQ0126,618.79,58.2,4.15,0,정상
2023-03,EQ0127,227.94,23.7,3.64,0,정상
2023-03,EQ0130,595.67,43.5,6.97,1,주의
2023-03,EQ0133,671.5,21.1,1.59,3,정상
2023-03,EQ0136,551.26,32.9,4.9,2,정상
2023-03,EQ0139,422.57,32.2,2.41,3,정상
2023-03,EQ0140,555.32,58.2,7.11,1,정상
2023-03,EQ0143,210.79,23.2,6.47,2,정상
2023-03,EQ0144,217.59,28.8,4.37,0,주의
2023-03,EQ0145,762.49,42.4,1.05,0,정상
2023-03,EQ0147,749.6,40.3,1.03,4,경고
2023-03,EQ0148,500.58,56.8,6.47,1,주의
2023-03,EQ0149,751.89,56.6,1.1,0,정상
2023-03,EQ0159,382.26,45.8,9.12,1,정상
2023-03,EQ0160,560.15,40.8,7.64,2,경고
2023-03,EQ0164,408.94,27.5,1.11,0,정상
2023-03,EQ0165,515.22,20.1,3.79,1,주의
2023-03,EQ0167,499.41,44.8,7.98,2,주의
2023-03,EQ0171,517.85,50.0,3.5,3,정상
2023-03,EQ0172,733.71,44.4,1.01,1,정상
2023-03,EQ0173,637.33,35.5,1.91,4,정상
2023-03,EQ0174,583.17,54.0,1.61,1,정상
2023-03,EQ0175,435.47,21.0,9.45,0,정상
2023-03,EQ0177,220.86,37.4,3.53,3,경고
2023-03,EQ0179,694.95,47.6,8.54,2,주의
2023-03,EQ0180,349.86,46.2,2.22,1,주의
2023-03,EQ0182,489.21,45.3,3.79,4,정상
2023-03,EQ0183,581.15,21.7,9.94,2,정상
2023-03,EQ0188,664.99,40.2,9.36,3,정상
2023-03,EQ0190,677.99,59.7,6.87,2,경고
2023-03,EQ0194,481.52,43.2,6.62,0,정상
2023-03,EQ0197,763.53,24.0,8.19,4,정상
2023-03,EQ0198,461.13,54.0,1.97,0,정상
2023-03,EQ0199,632.63,36.9,7.68,4,정상
2023-03,EQ0202,508.9,39.2,9.96,2,주의
2023-03,EQ0204,673.49,57.9,9.26,0,정상
2023-03,EQ0206,288.71,21.9,2.76,3,정상
2023-03,EQ0208,733.53,50.7,6.25,1,정상
2023-03,EQ0210,440.38,35.9,5.91,1,정상
2023-03,EQ0211,745.76,47.8,4.44,3,정상
2023-03,EQ0216,535.88,40.8,5.54,2,정상
2023-03,EQ0218,583.81,56.4,9.53,0,경고
2023-03,EQ0221,442.67,51.8,3.01,1,정상
2023-03,EQ0222,377.54,33.9,5.41,0,정상
2023-03,EQ0223,455.12,53.4,8.74,2,정상
2023-03,EQ0224,751.5,58.0,8.61,0,주의
2023-03,EQ0226,452.32,27.3,9.44,0,정상
2023-03,EQ0227,656.35,25.1,7.26,3,정상
2023-03,EQ0231,719.68,20.3,8.97,3,주의
2023-03,EQ0232,447.31,25.8,4.94,0,정상
2023-03,EQ0234,578.59,53.4,3.81,3,정상
2023-03,EQ0238,421.87,52.0,1.28,1,주의
2023-03,EQ0239,261.27,24.1,3.64,3,정상
2023-03,EQ0240,641.3,31.1,7.78,2,주의
2023-03,EQ0241,649.5,40.6,2.96,0,정상
2023-03,EQ0245,753.13,21.1,4.67,4,정상
2023-03,EQ0249,643.31,44.9,4.48,0,경고
2023-03,EQ0254,733.29,56.5,1.14,3,정상
2023-03,EQ0256,201.37,27.1,2.14,0,정상
2023-03,EQ0257,434.51,31.9,6.39,1,정상
2023-03,EQ0259,626.78,49.4,9.67,1,정상
2023-03,EQ0260,274.5,25.4,2.01,3,주의
2023-03,EQ0264,303.75,36.8,5.06,0,정상
2023-03,EQ0266,429.39,40.6,9.67,3,경고
2023-03,EQ0267,603.44,58.0,4.34,3,정상
2023-03,EQ0268,635.06,39.5,5.23,2,정상
2023-03,EQ0269,227.44,48.4,8.61,3,정상
2023-03,EQ0271,529.63,51.2,4.7,1,정상
2023-03,EQ0272,768.25,50.9,2.05,3,정상
2023-03,EQ0274,478.93,24.0,8.62,2,정상
2023-03,EQ0278,528.0,56.7,5.37,0,정상
2023-03,EQ0279,210.34,41.7,6.63,2,정상
2023-03,EQ0281,377.57,44.9,3.55,3,정상
2023-03,EQ0282,324.56,58.8,2.21,2,주의
2023-03,EQ0284,312.53,52.0,4.75,4,정상
2023-03,EQ0285,429.86,51.7,6.96,3,정상
2023-03,EQ0288,329.88,21.1,2.98,2,정상
2023-03,EQ0289,597.13,26.1,9.86,2,정상
2023-03,EQ0291,339.6,23.8,9.78,4,정상
2023-03,EQ0295,263.59,41.7,3.48,1,정상
2023-03,EQ0296,249.41,34.4,5.48,1,정상
2023-03,EQ0297,444.5,37.3,4.14,2,정상
2023-03,EQ0298,547.6,27.3,2.11,1,주의
2023-03,EQ0299,594.58,24.6,2.29,3,정상
2023-03,EQ0300,564.86,20.6,8.13,2,정상
2023-04,EQ0001,439.51,29.0,2.99,0,정상
2023-04,EQ0002,660.55,58.5,6.44,0,정상
2023-04,EQ0003,766.63,47.7,4.24,2,주의
2023-04,EQ0006,491.71,27.7,6.33,0,정상
2023-04,EQ0007,466.25,32.4,1.69,0,주의
2023-04,EQ0009,353.52,39.0,6.77,1,정상
2023-04,EQ0012,337.03,36.5,4.03,0,정상
2023-04,EQ0016,759.75,28.5,4.28,3,정상
2023-04,EQ0017,609.65,22.2,5.63,0,정상
2023-04,EQ0019,711.4,49.7,5.85,3,정상
2023-04,EQ0021,315.83,36.7,8.43,2,정상
2023-04,EQ0023,454.62,59.6,8.86,3,정상
2023-04,EQ0031,240.71,24.0,3.21,1,정상
2023-04,EQ0032,584.36,42.3,6.03,4,정상
2023-04,EQ0033,234.5,37.9,3.8,4,정상
2023-04,EQ0034,267.86,41.3,9.25,2,정상
2023-04,EQ0036,317.27,33.8,7.63,0,주의
2023-04,EQ0037,398.46,54.7,7.11,0,경고
2023-04,EQ0042,698.08,42.8,1.5,2,정상
2023-04,EQ0043,483.45,35.5,2.51,2,주의
2023-04,EQ0044,595.97,42.0,3.8,0,정상
2023-04,EQ0045,281.03,28.3,9.35,0,정상
2023-04,EQ0046,550.26,50.3,3.3,2,정상
2023-04,EQ0047,654.23,35.3,2.23,1,주의
2023-04,EQ0048,343.38,42.2,8.46,3,정상
2023-04,EQ0049,474.39,36.8,4.4,2,경고
2023-04,EQ0050,731.89,21.8,3.47,1,정상
2023-04,EQ0055,311.81,52.4,4.62,1,정상
2023-04,EQ0060,332.87,27.9,8.76,1,정상
2023-04,EQ0061,660.19,25.9,9.4,4,정상
2023-04,EQ0062,467.4,51.6,3.23,2,정상
2023-04,EQ0064,786.52,22.4,3.48,4,정상
2023-04,EQ0065,383.08,53.8,6.62,2,정상
2023-04,EQ0067,406.74,29.3,2.28,1,주의
2023-04,EQ0069,294.53,45.3,5.73,2,정상
2023-04,EQ0070,359.82,22.8,3.82,0,정상
2023-04,EQ0072,630.27,32.5,2.47,4,정상
2023-04,EQ0073,300.94,42.3,7.99,2,정상
2023-04,EQ0078,435.09,37.9,2.08,2,경고
2023-04,EQ0079,656.81,49.8,4.73,4,정상
2023-04,EQ0081,781.6,50.8,5.66,3,정상
2023-04,EQ0082,451.38,34.6,4.14,0,정상
2023-04,EQ0083,591.22,28.1,7.32,1,정상
2023-04,EQ0084,728.07,48.5,8.07,4,정상
2023-04,EQ0086,479.93,30.2,7.7,3,정상
2023-04,EQ0090,596.03,57.2,1.67,4,정상
