기기ID,기기명,기기유형,설치위치,제조사,모델명,설치일자,정격용량,기기상태,최근점검일자,최근점검항목,최근점검결과,최근유지보수일자,최근유지보수유형,총비용
EQ0036,냉각기-6,모터,공장B-2층,케이시,MOD-1859,2020-03-03,247.18,부분결함,2024-08-21,절연저항,정상,2024-08-07,사후정비,1438156
EQ0037,제어판-7,컴프레서,공장B-2층,LS산전,MOD-9281,2020-06-13,455.62,경고,2024-03-02,온도측정,정상,2024-04-07,사후정비,1414480
EQ0038,분사기-8,제어판,창고-1층,LS산전,MOD-2582,2020-08-15,445.05,정상,2024-07-29,절연저항,정상,2024-06-03,사후정비,1154504
EQ0039,컴프레서-9,센서,공장A-3층,케이시,MOD-8158,2020-09-09,192.74,정상,2024-08-21,소음진동,정상,2024-05-30,예방정비,2104202
EQ0040,밸브-10,변압기,공장B-2층,두산중공업,MOD-1051,2020-04-14,441.01,부분결함,2024-08-02,온도측정,정상,2024-06-04,예방정비,1166657
EQ0041,제어판-11,분사기,창고-1층,효성,MOD-9014,2020-05-02,219.05,정상,2024-06-01,전류측정,정상,2024-02-28,응급정비,265779
EQ0042,컴프레서-12,제어판,공장A-2층,케이시,MOD-2179,2020-11-09,183.59,주의,2024-07-11,유량측정,경고,2024-07-17,사후정비,1604262
EQ0043,변압기-13,밸브,공장A-3층,한화Q셀,MOD-2817,2020-08-03,342.08,경고,2024-07-02,소음진동,주의,2024-07-30,사후정비,864675
EQ0044,제어판-14,밸브,공장B-2층,현대중공업,MOD-4624,2020-11-28,197.77,정상,2024-08-14,유량측정,정상,2023-09-25,사후정비,875555
EQ0045,변압기-15,펌프,창고-2층,효성,MOD-9792,2020-09-03,333.59,정상,2024-06-29,절연저항,정상,2024-07-30,사후정비,1826188
EQ0046,냉각기-16,센서,공장A-1층,효성,MOD-8577,2020-09-02,324.42,정상,2024-03-01,외관검사,경고,2024-07-19,개선정비,1673716
EQ0047,컴프레서-17,모터,공장A-2층,LS산전,MOD-7411,2020-12-10,303.55,정상,2024-07-27,절연저항,경고,2024-05-23,응급정비,1579526
EQ0048,밸브-18,분사기,공장A-2층,효성,MOD-7286,2020-09-15,221.19,경고,2024-08-08,온도측정,경고,2024-07-13,예방정비,2655019
EQ0049,분사기-19,컴프레서,창고-1층,케이시,MOD-2165,2020-08-25,296.82,정상,2024-08-05,온도측정,경고,2024-06-29,예방정비,559766
EQ0050,센서-20,컴프레서,공장A-2층,한화Q셀,MOD-868,2020-05-11,318.42,경고,2024-08-18,유량측정,정상,2024-07-22,응급정비,384125
EQ0051,모터-21,분사기,공장A-3층,한화Q셀,MOD-5590,2020-11-02,295.56,정상,2024-05-30,소음진동,주의,2024-01-23,예방정비,1448186
EQ0052,펌프-22,열교환기,공장B-2층,삼성중공업,MOD-6745,2020-08-28,249.99,부분결함,2024-06-27,소음진동,주의,2024-08-07,응급정비,1205632
EQ0053,밸브-23,모터,공장B-2층,한화Q셀,MOD-5183,2020-06-08,56.6,정상,2024-06-13,외관검사,정상,2024-05-28,사후정비,2273219
EQ0054,컴프레서-24,제어판,창고-2층,한화Q셀,MOD-5332,2020-11-05,314.18,정상,2024-02-29,전류측정,정상,2024-08-04,응급정비,1371704
EQ0055,센서-25,변압기,공장A-1층,LS산전,MOD-5897,2020-10-18,125.8,정상,2024-08-10,전류측정,경고,2024-07-14,예방정비,1606844
EQ0056,밸브-26,열교환기,창고-1층,한화Q셀,MOD-9238,2020-06-05,339.16,주의,2024-08-21,외관검사,경고,2024-05-31,개선정비,851805
EQ0057,컴프레서-27,변압기,공장A-1층,삼성중공업,MOD-5026,2020-12-16,391.7,주의,2024-08-16,압력검사,경고,2023-11-04,응급정비,713424
EQ0058,열교환기-28,변압기,공장A-2층,현대중공업,MOD-6116,2020-12-05,275.2,경고,2024-05-17,전류측정,정상,2024-07-20,개선정비,1691909
EQ0059,열교환기-29,열교환기,창고-2층,케이시,MOD-3435,2020-01-18,294.06,정상,2024-06-02,압력검사,정상,2024-03-28,개선정비,664579
EQ0060,변압기-30,펌프,공장A-1층,LS산전,MOD-8138,2020-08-13,478.17,정상,2024-08-06,압력검사,정상,2024-06-02,사후정비,1396270
EQ0061,밸브-1,밸브,공장A-3층,현대중공업,MOD-4973,2020-03-26,431.23,정상,2024-06-06,외관검사,주의,2024-06-29,사후정비,1519213
EQ0062,열교환기-2,변압기,공장B-2층,LS산전,MOD-1581,2020-03-24,461.41,정상,2024-08-21,소음진동,정상,2024-08-06,사후정비,2023332
EQ0063,컴프레서-3,열교환기,공장A-2층,두산중공업,MOD-6405,2020-08-02,416.19,정상,2024-08-14,소음진동,정상,2024-05-22,사후정비,1848314
EQ0064,변압기-4,열교환기,창고-2층,효성,MOD-3551,2020-08-27,99.01,부분결함,2024-08-19,외관검사,주의,2024-06-24,개선정비,2013802
EQ0065,컴프레서-5,냉각기,공장A-1층,두산중공업,MOD-154,2020-01-06,117.05,부분결함,2024-07-23,외관검사,정상,2024-08-09,개선정비,976374
EQ0066,변압기-6,펌프,창고-1층,한화Q셀,MOD-7743,2020-08-19,286.98,부분결함,2024-07-29,전류측정,정상,2024-03-31,사후정비,1587079
EQ0067,밸브-7,센서,공장A-3층,현대중공업,MOD-3562,2020-08-28,160.73,주의,2024-02-29,유량측정,정상,2024-04-30,개선정비,579937
EQ0068,센서-8,냉각기,공장A-3층,한화Q셀,MOD-932,2020-01-27,264.51,정상,2024-07-28,압력검사,정상,2024-08-16,사후정비,1624618
EQ0069,분사기-9,냉각기,공장A-1층,효성,MOD-6054,2020-11-16,227.46,정상,2024-07-04,외관검사,정상,2023-11-26,개선정비,1061858
EQ0070,제어판-10,분사기,공장B-2층,LS산전,MOD-8619,2020-09-13,297.24,정상,2024-06-14,온도측정,정상,2024-08-01,사후정비,414839
EQ0071,센서-11,밸브,공장A-1층,효성,MOD-7321,2020-11-13,386.09,경고,2024-07-13,절연저항,정상,2023-08-03,개선정비,1982106
EQ0072,냉각기-12,열교환기,공장A-2층,삼성중공업,MOD-3410,2020-09-21,371.97,정상,2024-07-09,유량측정,정상,2024-02-16,사후정비,1484810
EQ0073,컴프레서-13,밸브,공장A-1층,효성,MOD-3400,2020-10-04,284.56,정상,2024-06-04,온도측정,주의,2023-12-28,응급정비,888149
EQ0074,냉각기-14,모터,공장A-3층,삼성중공업,MOD-6822,2020-11-06,420.08,정상,2024-07-22,소음진동,불량,2024-07-30,응급정비,2360345
EQ0075,센서-15,분사기,창고-2층,효성,MOD-7318,2020-12-07,243.89,정상,2024-03-19,외관검사,정상,2024-03-31,예방정비,909564
EQ0076,변압기-16,센서,공장A-1층,케이시,MOD-7876,2020-05-11,453.52,경고,2024-07-27,소음진동,경고,2024-05-10,예방정비,1532372
EQ0077,제어판-17,밸브,공장B-2층,삼성중공업,MOD-3775,2020-10-25,82.08,주의,2024-05-26,소음진동,정상,2024-02-28,응급정비,1422324
EQ0078,제어판-18,컴프레서,창고-2층,현대중공업,MOD-3154,2020-03-23,479.6,정상,2023-10-22,외관검사,정상,2024-03-21,개선정비,1136193
EQ0079,펌프-19,변압기,창고-1층,한화Q셀,MOD-8070,2020-10-10,344.61,부분결함,2024-08-05,외관검사,정상,2024-07-14,응급정비,1983570
EQ0080,제어판-20,모터,공장B-1층,한화Q셀,MOD-2243,2020-11-21,221.03,주의,2024-08-20,압력검사,정상,2024-07-26,예방정비,1419081
EQ0081,분사기-21,펌프,공장A-1층,두산중공업,MOD-5307,2020-07-18,138.72,정상,2024-07-26,전류측정,정상,2024-06-20,개선정비,1793544
EQ0082,제어판-22,센서,공장B-2층,한화Q셀,MOD-9603,2020-04-02,265.63,정상,2024-06-24,압력검사,정상,2023-09-01,예방정비,301524
EQ0083,센서-23,모터,창고-2층,LS산전,MOD-2638,2020-12-07,137.55,정상,2024-07-18,온도측정,정상,2024-04-17,사후정비,1295497
EQ0084,펌프-24,변압기,공장B-2층,케이시,MOD-4647,2020-02-13,124.85,정상,2024-07-13,외관검사,정상,2024-05-16,예방정비,1305996
EQ0085,센서-25,분사기,창고-1층,효성,MOD-5719,2020-11-17,327.81,부분결함,2024-08-11,온도측정,정상,2024-08-15,개선정비,1879196
EQ0086,센서-26,변압기,공장A-3층,두산중공업,MOD-8456,2020-09-17,285.39,정상,2024-07-04,유량측정,정상,2024-07-29,응급정비,1860105
EQ0087,모터-27,냉각기,공장B-2층,LS산전,MOD-6712,2020-08-02,351.54,경고,2024-08-09,압력검사,정상,2023-09-16,예방정비,1291791
EQ0088,펌프-28,변압기,창고-2층,LS산전,MOD-5105,2020-12-24,468.32,정상,2024-08-01,소음진동,정상,2024-08-19,예방정비,2364755
EQ0089,센서-29,냉각기,공장B-2층,삼성중공업,MOD-922,2020-03-16,289.52,정상,2024-04-27,온도측정,정상,2024-03-08,예방정비,1947954
EQ0090,모터-30,분사기,공장B-2층,한화Q셀,MOD-1043,2020-06-19,311.42,정상,2024-08-04,유량측정,불량,2024-08-20,응급정비,1915012
EQ0091,모터-1,제어판,공장B-2층,현대중공업,MOD-6250,2020-07-10,90.33,정상,2024-08-12,유량측정,정상,2024-07-28,개선정비,2073184
EQ0092,펌프-2,냉각기,공장A-2층,현대중공업,MOD-4525,2020-09-02,372.94,정상,2024-01-15,압력검사,불량,2024-06-14,개선정비,492006
EQ0093,냉각기-3,펌프,공장A-2층,두산중공업,MOD-9066,2020-12-28,229.96,부분결함,2024-07-21,전류측정,정상,2024-07-04,응급정비,1427948
EQ0094,변압기-4,변압기,공장A-3층,케이시,MOD-2298,2020-05-22,489.53,정상,2024-07-08,외관검사,정상,2024-08-04,개선정비,1985638
EQ0095,분사기-5,변압기,공장A-1층,현대중공업,MOD-4342,2020-04-20,420.43,주의,2024-08-21,소음진동,정상,2023-12-23,예방정비,559904
EQ0096,변압기-6,펌프,공장B-2층,효성,MOD-3795,2020-04-18,285.12,정상,2024-07-17,소음진동,정상,2023-11-24,사후정비,446919
EQ0097,제어판-7,컴프레서,창고-1층,현대중공업,MOD-3552,2020-04-27,105.45,정상,2024-06-04,외관검사,주의,2024-05-29,사후정비,2200424
EQ0098,분사기-8,열교환기,공장A-1층,두산중공업,MOD-9206,2020-01-12,436.74,정상,2024-08-14,절연저항,주의,2024-06-05,예방정비,678965
EQ0099,제어판-9,제어판,창고-1층,현대중공업,MOD-1408,2020-06-17,409.9,정상,2024-07-29,온도측정,정상,2024-06-11,응급정비,1700511
EQ0100,센서-10,센서,공장A-1층,효성,MOD-4277,2020-10-22,133.06,정상,2024-07-14,외관검사,정상,2024-04-12,예방정비,1956836
EQ0101,컴프레서-11,냉각기,공장A-3층,삼성중공업,MOD-8805,2020-01-22,182.88,정상,2024-08-14,전류측정,정상,2023-03-04,응급정비,417768
EQ0102,펌프-12,펌프,공장B-2층,케이시,MOD-6952,2020-10-24,407.03,정상,2024-07-13,압력검사,정상,2023-04-17,예방정비,290366
EQ0103,분사기-13,분사기,공장B-2층,두산중공업,MOD-6135,2020-11-18,133.35,정상,2024-07-08,소음진동,정상,2024-08-01,개선정비,1963072
EQ0104,분사기-14,냉각기,공장B-1층,삼성중공업,MOD-3694,2020-02-14,462.99,정상,2024-06-16,유량측정,정상,2024-07-01,사후정비,2148601
EQ0105,센서-15,열교환기,창고-1층,삼성중공업,MOD-4941,2020-12-04,241.04,정상,2024-06-19,유량측정,정상,2024-08-14,예방정비,818400
EQ0106,냉각기-16,분사기,공장A-1층,삼성중공업,MOD-1509,2020-11-03,89.17,부분결함,2024-07-31,압력검사,정상,2024-03-01,응급정비,581708
EQ0107,모터-17,모터,공장A-1층,LS산전,MOD-4666,2020-04-12,417.09,주의,2024-02-07,절연저항,불량,2024-03-13,응급정비,492377
EQ0108,센서-18,변압기,공장A-2층,케이시,MOD-4591,2020-07-11,218.08,정상,2024-08-04,온도측정,불량,2023-12-08,응급정비,1033849
EQ0109,열교환기-19,모터,공장B-1층,한화Q셀,MOD-1655,2020-01-06,286.92,정상,2024-08-05,외관검사,정상,2024-08-18,응급정비,1547838
EQ0110,모터-20,냉각기,창고-2층,케이시,MOD-904,2020-03-11,100.54,부분결함,2024-07-26,소음진동,정상,2024-01-26,예방정비,834587
EQ0111,펌프-21,열교환기,창고-2층,LS산전,MOD-1379,2020-10-23,51.16,주의,2024-08-17,유량측정,정상,2024-08-21,응급정비,1173247
EQ0112,모터-22,제어판,공장A-2층,한화Q셀,MOD-7183,2020-10-02,337.09,정상,2024-05-06,절연저항,불량,2024-02-16,사후정비,713881
EQ0113,냉각기-23,냉각기,공장A-2층,케이시,MOD-6086,2020-02-04,281.83,경고,2023-12-13,유량측정,정상,2023-09-22,개선정비,1125007
EQ0114,모터-24,펌프,공장A-2층,삼성중공업,MOD-5719,2020-01-03,317.09,정상,2024-08-18,소음진동,정상,2024-07-15,예방정비,1102217
EQ0115,펌프-25,밸브,창고-1층,두산중공업,MOD-1487,2020-09-07,407.18,정상,2024-07-17,유량측정,정상,2024-05-07,개선정비,708048
EQ0116,냉각기-26,냉각기,창고-1층,한화Q셀,MOD-2779,2020-07-11,340.97,주의,2024-06-24,전류측정,주의,2024-08-04,응급정비,1897858
EQ0117,변압기-27,변압기,공장A-3층,효성,MOD-2206,2020-04-02,128.65,정상,2024-08-01,유량측정,정상,2023-12-01,개선정비,1369921
EQ0118,분사기-28,변압기,공장A-3층,효성,MOD-8273,2020-04-22,212.35,부분결함,2024-07-11,외관검사,주의,2024-07-23,사후정비,696259
EQ0119,분사기-29,냉각기,공장A-2층,현대중공업,MOD-4323,2020-11-27,457.65,주의,2024-06-14,전류측정,정상,2023-11-23,사후정비,2400948
EQ0120,제어판-30,분사기,공장B-1층,한화Q셀,MOD-4931,2020-03-17,396.48,정상,2024-08-02,압력검사,정상,2024-01-15,개선정비,1003510
EQ0121,변압기-1,밸브,공장A-1층,두산중공업,MOD-2868,2020-12-24,300.49,정상,2024-08-17,외관검사,정상,2024-04-21,사후정비,2592715
EQ0122,변압기-2,펌프,창고-1층,LS산전,MOD-3286,2020-12-21,165.04,정상,2024-05-01,절연저항,경고,2024-08-01,개선정비,2120675
EQ0123,모터-3,냉각기,공장B-1층,삼성중공업,MOD-2673,2020-05-27,185.93,정상,2024-08-03,소음진동,정상,2023-09-28,예방정비,1271186
EQ0124,분사기-4,분사기,공장B-2층,현대중공업,MOD-2699,2020-04-06,379.38,주의,2024-07-03,압력검사,경고,2024-08-10,개선정비,2435932
EQ0125,펌프-5,변압기,창고-1층,효성,MOD-4133,2020-03-25,433.03,정상,2024-08-06,압력검사,정상,2024-06-11,응급정비,2407466
EQ0126,밸브-6,변압기,창고-1층,LS산전,MOD-8528,2020-05-03,352.14,정상,2024-07-18,소음진동,정상,2024-08-06,사후정비,1471476
EQ0127,밸브-7,열교환기,공장A-3층,LS산전,MOD-1404,2020-11-01,414.29,주의,2024-08-06,절연저항,경고,2024-08-04,응급정비,1467381
EQ0128,냉각기-8,냉각기,공장A-1층,삼성중공업,MOD-7468,2020-10-28,395.0,정상,2024-08-11,유량측정,불량,2024-08-05,사후정비,1640305
EQ0129,분사기-9,밸브,공장A-1층,한화Q셀,MOD-5977,2020-06-15,117.37,주의,2024-06-06,전류측정,정상,2024-06-11,사후정비,587243
EQ0130,분사기-10,컴프레서,창고-2층,효성,MOD-1401,2020-02-03,240.78,정상,2024-07-16,유량측정,경고,2023-11-21,사후정비,760312
EQ0131,밸브-11,밸브,창고-2층,두산중공업,MOD-2641,2020-01-25,118.84,부분결함,2024-07-15,전류측정,정상,2024-07-25,예방정비,1870692
EQ0132,분사기-12,변압기,창고-2층,LS산전,MOD-2151,2020-08-12,155.86,정상,2024-08-14,전류측정,정상,2024-06-02,예방정비,1549610
EQ0133,모터-13,변압기,창고-2층,삼성중공업,MOD-6909,2020-02-15,441.17,정상,2024-05-12,온도측정,정상,2024-06-05,응급정비,841518
EQ0134,열교환기-14,모터,공장B-2층,두산중공업,MOD-8733,2020-12-16,262.8,정상,2024-05-15,전류측정,주의,2024-07-14,응급정비,1918314
EQ0135,컴프레서-15,변압기,공장B-2층,한화Q셀,MOD-9096,2020-11-08,290.91,정상,2024-08-18,전류측정,주의,2023-12-20,개선정비,1346171
EQ0136,변압기-16,펌프,창고-1층,효성,MOD-174,2020-12-14,130.3,주의,2023-10-07,유량측정,정상,2024-03-11,사후정비,1553385
EQ0137,제어판-17,센서,공장A-2층,한화Q셀,MOD-7081,2020-09-17,190.52,주의,2024-03-31,절연저항,정상,2024-08-19,사후정비,953591
EQ0138,냉각기-18,냉각기,공장A-3층,LS산전,MOD-5575,2020-05-08,153.61,주의,2024-07-11,외관검사,주의,2024-07-08,사후정비,406279
EQ0139,열교환기-19,밸브,공장A-3층,두산중공업,MOD-8332,2020-11-14,142.78,정상,2024-06-22,외관검사,경고,2024-07-18,개선정비,914599
EQ0140,밸브-20,센서,창고-2층,두산중공업,MOD-7284,2020-02-20,337.08,정상,2024-07-29,절연저항,정상,2024-02-28,응급정비,637544
EQ0141,변압기-21,분사기,창고-1층,두산중공업,MOD-5896,2020-07-03,165.6,정상,2024-08-15,유량측정,주의,2024-04-28,예방정비,1426622
EQ0142,분사기-22,컴프레서,공장B-1층,LS산전,MOD-7241,2020-12-21,334.41,정상,2024-05-11,압력검사,주의,2024-06-16,예방정비,312826
EQ0143,제어판-23,펌프,공장A-2층,LS산전,MOD-1722,2020-08-28,76.3,경고,2024-07-12,온도측정,정상,2024-08-01,응급정비,1349632
EQ0144,분사기-24,밸브,창고-1층,한화Q셀,MOD-8141,2020-10-03,113.8,정상,2024-06-23,소음진동,정상,2024-08-12,사후정비,1579575
EQ0145,펌프-25,센서,공장A-2층,현대중공업,MOD-441,2020-04-14,173.54,정상,2024-06-14,소음진동,경고,2023-12-30,예방정비,1638676
EQ0146,펌프-26,컴프레서,공장A-2층,한화Q셀,MOD-2174,2020-09-14,318.67,정상,2024-08-21,온도측정,정상,2024-06-29,예방정비,1021494
EQ0147,제어판-27,모터,공장A-2층,효성,MOD-8092,2020-07-17,354.13,경고,2024-07-01,유량측정,정상,2024-07-21,응급정비,974439
EQ0148,제어판-28,펌프,창고-1층,삼성중공업,MOD-745,2020-12-20,249.22,주의,2024-08-20,전류측정,정상,2024-05-20,응급정비,1721602
EQ0149,밸브-29,펌프,창고-2층,두산중공업,MOD-4363,2020-04-09,250.61,경고,2024-07-05,외관검사,정상,2024-07-27,사후정비,1577180
EQ0150,제어판-30,모터,공장A-3층,현대중공업,MOD-8901,2020-06-16,376.03,정상,2024-06-13,전류측정,주의,2023-11-08,응급정비,938572
EQ0151,모터-1,냉각기,공장A-3층,삼성중공업,MOD-6236,2020-09-28,57.12,정상,2024-07-16,온도측정,주의,2024-07-31,응급정비,1306490
EQ0152,분사기-2,모터,창고-2층,현대중공업,MOD-8746,2020-06-22,203.49,경고,2024-07-07,절연저항,정상,2023-08-17,응급정비,583551
EQ0153,열교환기-3,펌프,공장A-2층,케이시,MOD-3069,2020-05-21,418.42,주의,2024-07-28,외관검사,정상,2024-05-11,예방정비,1177662
EQ0154,센서-4,펌프,공장B-1층,한화Q셀,MOD-3128,2020-02-24,321.45,정상,2024-07-28,유량측정,정상,2023-06-26,개선정비,610882
EQ0155,제어판-5,센서,공장A-1층,LS산전,MOD-7743,2020-08-11,201.75,주의,2024-07-21,온도측정,경고,2024-08-07,사후정비,1218075
EQ0156,냉각기-6,변압기,창고-1층,두산중공업,MOD-2781,2020-01-08,457.49,경고,2024-08-03,절연저항,정상,2024-07-03,응급정비,1346030
EQ0157,펌프-7,컴프레서,공장A-1층,한화Q셀,MOD-3729,2020-05-18,397.68,주의,2024-08-21,전류측정,정상,2024-05-08,개선정비,2431510
EQ0158,모터-8,모터,창고-2층,삼성중공업,MOD-4325,2020-02-14,169.2,주의,2024-04-02,전류측정,주의,2023-12-14,예방정비,452141
EQ0159,변압기-9,컴프레서,공장B-1층,케이시,MOD-3167,2020-06-11,340.38,정상,2024-02-05,압력검사,정상,2024-06-20,예방정비,1715432
EQ0160,센서-10,모터,창고-1층,케이시,MOD-6041,2020-09-01,318.09,정상,2023-12-08,온도측정,정상,2024-08-14,사후정비,2076393
EQ0161,열교환기-11,분사기,창고-2층,케이시,MOD-1486,2020-12-06,230.53,정상,2024-08-04,압력검사,경고,2024-07-10,개선정비,1587672
EQ0162,센서-12,펌프,공장A-2층,삼성중공업,MOD-2966,2020-09-08,215.13,경고,2024-03-14,전류측정,정상,2023-11-05,응급정비,636480
EQ0163,제어판-13,변압기,공장A-3층,삼성중공업,MOD-4888,2020-11-22,204.6,경고,2024-06-20,유량측정,정상,2024-06-21,사후정비,1208270
EQ0164,밸브-14,센서,공장A-1층,삼성중공업,MOD-5590,2020-03-24,327.72,경고,2024-02-24,외관검사,정상,2024-07-15,예방정비,892101
EQ0165,펌프-15,변압기,공장B-2층,삼성중공업,MOD-4224,2020-09-17,249.08,정상,2024-07-02,압력검사,경고,2024-04-13,예방정비,684953
EQ0166,펌프-16,변압기,공장B-2층,케이시,MOD-8440,2020-12-25,424.34,주의,2024-06-20,압력검사,주의,2023-12-17,예방정비,1621240
EQ0167,변압기-17,변압기,공장B-1층,케이시,MOD-3950,2020-06-22,351.32,주의,2024-05-08,소음진동,정상,2024-08-16,개선정비,1871477
EQ0168,밸브-18,컴프레서,공장A-2층,현대중공업,MOD-5515,2020-12-20,81.47,주의,2024-07-28,압력검사,주의,2024-06-26,개선정비,1798406
EQ0169,분사기-19,모터,공장A-1층,한화Q셀,MOD-7779,2020-01-10,338.08,주의,2024-07-23,유량측정,정상,2024-07-05,개선정비,519904
EQ0170,컴프레서-20,제어판,공장A-2층,두산중공업,MOD-6919,2020-08-18,172.02,경고,2024-04-25,압력검사,정상,2024-04-10,예방정비,722435
EQ0171,모터-21,분사기,공장A-1층,LS산전,MOD-9428,2020-12-01,316.77,정상,2024-05-29,유량측정,불량,2024-05-08,개선정비,609654
EQ0172,펌프-22,밸브,공장B-1층,케이시,MOD-8478,2020-02-01,356.06,정상,2024-08-07,온도측정,정상,2024-02-04,응급정비,2361828
