기기ID,교체일자,부품명,부품규격,교체수량,부품비(원),공임(원),교체사유,담당자
EQ0037,2023-02-24,씰,80mm,1,96117,44105,성능저하,박준호
EQ0037,2023-07-27,베어링,69mm,2,116643,97171,정기교체,이영희
EQ0037,2023-09-04,로드,32mm,3,115525,94493,성능저하,정수현
EQ0037,2024-06-11,피스톤,70mm,4,176887,46497,정기교체,이영희
EQ0038,2023-10-19,씰,53mm,1,196154,78095,마모,박준호
EQ0038,2024-01-23,베어링,33mm,1,63371,40954,손상,이영희
EQ0038,2024-04-30,로드,69mm,2,158360,22910,손상,이영희
EQ0039,2024-05-12,로드,83mm,2,164026,69594,노후,이영희
EQ0040,2024-01-06,스프링,52mm,4,141097,30401,노후,이영희
EQ0040,2024-03-26,피스톤,47mm,3,94615,35231,노후,정수현
EQ0040,2024-06-16,임펠러,35mm,4,17755,98920,노후,이영희
EQ0041,2023-01-09,피스톤,59mm,2,107904,75049,성능저하,이영희
EQ0041,2023-01-20,피스톤,25mm,3,41041,89034,노후,이영희
EQ0041,2023-04-27,임펠러,57mm,4,48355,79389,노후,정수현
EQ0041,2023-04-28,씰,46mm,1,88053,36943,정기교체,박준호
EQ0041,2023-07-24,권선,26mm,2,98563,76499,노후,박준호
EQ0042,2023-09-21,스프링,84mm,1,64100,90996,노후,김철수
EQ0042,2023-10-23,베어링,55mm,3,142774,77873,마모,이영희
EQ0042,2023-12-23,임펠러,75mm,3,100230,92750,성능저하,박준호
EQ0043,2023-09-20,임펠러,27mm,2,81164,49093,마모,최민준
EQ0043,2024-01-29,필터,22mm,2,162135,67574,손상,정수현
EQ0043,2024-05-11,로드,61mm,4,103988,28017,노후,정수현
EQ0043,2024-06-16,베어링,23mm,4,61955,57308,마모,이영희
EQ0044,2023-04-17,로드,11mm,4,45608,80840,마모,김철수
EQ0045,2023-01-03,씰,19mm,1,62079,78074,노후,최민준
EQ0045,2023-08-12,베어링,29mm,4,156485,60633,정기교체,김철수
EQ0045,2023-11-29,케이싱,24mm,1,68697,55903,마모,김철수
EQ0045,2024-07-17,필터,83mm,1,194783,33322,성능저하,박준호
EQ0046,2024-02-09,임펠러,42mm,2,60578,93603,성능저하,김철수
EQ0046,2024-08-15,스프링,79mm,4,154254,91758,노후,김철수
EQ0047,2023-08-20,권선,57mm,3,149646,58597,성능저하,박준호
EQ0047,2024-05-30,권선,75mm,2,93545,35789,손상,최민준
EQ0048,2023-02-18,밸브시트,81mm,3,155092,27420,성능저하,박준호
EQ0048,2023-03-15,피스톤,79mm,2,95417,41880,마모,박준호
EQ0048,2023-11-19,권선,15mm,1,167961,45979,정기교체,최민준
EQ0049,2023-01-28,권선,67mm,1,23595,86857,마모,정수현
EQ0049,2023-10-06,씰,14mm,2,120710,25756,손상,최민준
EQ0049,2023-12-15,베어링,64mm,1,146750,84882,성능저하,이영희
EQ0049,2023-12-23,밸브시트,87mm,2,101337,68162,정기교체,정수현
EQ0050,2024-05-12,필터,16mm,2,192713,46433,성능저하,이영희
EQ0051,2023-10-21,스프링,23mm,3,71012,91819,마모,박준호
EQ0052,2024-05-02,밸브시트,57mm,1,188257,89419,성능저하,이영희
EQ0053,2023-08-16,베어링,78mm,2,194806,57834,손상,김철수
EQ0053,2023-08-28,스프링,86mm,1,87267,96716,마모,이영희
EQ0053,2023-11-11,로드,27mm,3,60748,85657,손상,최민준
EQ0053,2024-02-19,필터,91mm,1,132104,34407,노후,정수현
EQ0053,2024-07-03,로드,65mm,3,27628,43249,손상,박준호
EQ0054,2023-08-14,권선,60mm,2,114152,87881,노후,박준호
EQ0054,2024-05-14,필터,87mm,2,103039,58024,정기교체,정수현
EQ0054,2024-07-30,케이싱,55mm,4,103393,76929,성능저하,김철수
EQ0055,2023-01-19,필터,49mm,2,28854,75046,성능저하,박준호
EQ0055,2023-03-09,필터,44mm,3,69489,57896,노후,이영희
EQ0055,2023-04-12,권선,77mm,2,148973,30001,정기교체,정수현
EQ0055,2023-09-28,필터,23mm,4,28167,30067,성능저하,박준호
EQ0055,2024-03-02,임펠러,84mm,1,184642,46851,손상,정수현
EQ0056,2024-01-22,권선,63mm,2,146492,29779,정기교체,이영희
EQ0056,2024-03-05,임펠러,65mm,4,54793,51291,정기교체,최민준
EQ0056,2024-06-26,밸브시트,13mm,3,62832,99551,마모,김철수
EQ0056,2024-08-06,로드,99mm,4,116809,71774,손상,박준호
EQ0057,2023-01-02,베어링,21mm,4,199899,89428,손상,정수현
EQ0057,2023-02-19,피스톤,35mm,3,106905,33095,마모,최민준
EQ0057,2023-05-29,로드,64mm,1,85495,35383,정기교체,정수현
EQ0057,2023-12-13,씰,67mm,4,190199,35828,성능저하,정수현
EQ0058,2023-06-16,베어링,32mm,1,84569,85820,마모,최민준
EQ0058,2024-03-19,권선,25mm,1,109333,52297,노후,최민준
EQ0059,2023-01-13,베어링,21mm,1,199167,28461,손상,박준호
EQ0059,2024-03-07,필터,33mm,1,132512,54843,노후,정수현
EQ0059,2024-06-24,임펠러,95mm,4,38512,38403,정기교체,이영희
EQ0059,2024-08-10,스프링,21mm,4,33519,86776,손상,박준호
EQ0060,2023-06-20,로드,46mm,1,13293,23459,성능저하,김철수
EQ0060,2023-07-19,필터,76mm,2,115296,33850,정기교체,최민준
EQ0060,2023-08-28,필터,40mm,4,16521,59123,마모,최민준
EQ0060,2023-09-03,권선,42mm,3,57369,94531,정기교체,최민준
EQ0060,2024-02-08,로드,78mm,4,85253,91773,정기교체,이영희
EQ0061,2023-02-07,임펠러,55mm,3,141717,91420,정기교체,이영희
EQ0061,2023-03-20,밸브시트,74mm,1,177891,71382,손상,박준호
EQ0061,2023-07-27,밸브시트,72mm,2,107259,59605,마모,정수현
EQ0061,2024-01-03,베어링,88mm,2,69710,25224,마모,최민준
EQ0061,2024-02-12,씰,42mm,4,45401,89037,손상,김철수
EQ0062,2023-02-22,권선,38mm,2,171284,71567,마모,정수현
EQ0062,2023-03-19,피스톤,25mm,4,58198,81619,성능저하,정수현
EQ0062,2024-03-25,케이싱,72mm,1,155538,58121,손상,이영희
EQ0062,2024-06-07,스프링,29mm,3,173413,49471,성능저하,이영희
EQ0063,2023-11-01,스프링,62mm,2,76300,40519,마모,박준호
EQ0063,2023-11-20,피스톤,56mm,3,82335,29974,정기교체,김철수
EQ0063,2024-02-13,씰,76mm,4,16997,94910,정기교체,박준호
EQ0063,2024-06-24,임펠러,39mm,4,196504,97568,마모,정수현
EQ0064,2023-06-30,케이싱,11mm,1,43978,34211,마모,이영희
EQ0064,2023-09-13,밸브시트,62mm,1,60543,55027,정기교체,최민준
EQ0065,2023-09-26,스프링,95mm,4,148303,31214,마모,최민준
EQ0065,2024-04-12,필터,15mm,2,156692,42844,노후,박준호
EQ0065,2024-08-04,스프링,19mm,4,120859,60902,마모,이영희
EQ0066,2023-02-24,케이싱,98mm,4,82620,63848,성능저하,정수현
EQ0066,2023-06-05,로드,60mm,1,48729,79460,노후,정수현
EQ0066,2024-03-29,임펠러,81mm,4,75262,42065,정기교체,김철수
EQ0067,2023-11-13,권선,33mm,4,177279,90231,마모,정수현
EQ0068,2023-01-20,임펠러,36mm,2,36633,30939,노후,박준호
EQ0068,2023-04-30,베어링,56mm,4,109528,97977,정기교체,정수현
EQ0068,2023-10-30,베어링,33mm,4,193472,51619,손상,김철수
EQ0068,2024-02-19,씰,63mm,2,134412,66075,성능저하,박준호
EQ0069,2023-01-24,씰,72mm,4,196770,78431,성능저하,최민준
EQ0069,2023-03-09,피스톤,79mm,4,113371,95822,마모,이영희
EQ0069,2023-05-22,로드,43mm,2,11782,62167,정기교체,김철수
EQ0069,2023-08-14,로드,94mm,2,164903,81439,성능저하,최민준
EQ0069,2024-03-20,로드,29mm,4,106169,78190,노후,김철수
EQ0070,2023-01-07,밸브시트,52mm,4,124003,44618,정기교체,김철수
EQ0070,2023-08-27,스프링,53mm,1,12733,89603,마모,정수현
EQ0071,2023-09-29,씰,35mm,4,63020,57344,손상,박준호
EQ0071,2023-11-23,베어링,24mm,1,89752,46399,손상,박준호
EQ0071,2024-07-01,씰,75mm,1,81176,23410,정기교체,정수현
EQ0072,2023-03-20,씰,95mm,4,125306,23303,손상,박준호
EQ0072,2024-04-05,피스톤,58mm,1,37230,36466,정기교체,김철수
EQ0072,2024-06-26,피스톤,70mm,1,140174,82759,손상,이영희
EQ0072,2024-07-24,피스톤,35mm,2,158993,63937,노후,박준호
EQ0073,2023-05-04,베어링,56mm,4,20594,36992,성능저하,이영희
EQ0073,2023-07-22,케이싱,79mm,4,99236,63388,마모,이영희
EQ0073,2023-07-28,임펠러,12mm,3,190607,31355,손상,김철수
EQ0073,2024-04-20,로드,88mm,3,173175,46350,마모,이영희
EQ0073,2024-07-26,케이싱,69mm,1,25188,64777,손상,박준호
EQ0074,2023-03-19,필터,82mm,4,113427,24178,노후,정수현
EQ0074,2023-04-28,로드,99mm,3,157020,43639,정기교체,최민준
EQ0074,2023-12-03,씰,84mm,2,126011,93304,성능저하,김철수
EQ0074,2024-05-07,밸브시트,74mm,1,170090,73781,노후,박준호
EQ0075,2023-10-16,씰,47mm,2,120329,60508,마모,이영희
EQ0075,2023-10-26,베어링,30mm,1,179132,73350,성능저하,김철수
EQ0075,2023-10-28,케이싱,21mm,4,37238,66086,마모,이영희
EQ0075,2024-03-12,밸브시트,56mm,4,106628,20982,정기교체,최민준
EQ0075,2024-03-26,베어링,11mm,4,64165,97670,노후,이영희
EQ0076,2023-02-17,밸브시트,36mm,3,149724,72861,성능저하,김철수
EQ0076,2023-06-18,스프링,88mm,3,90110,43093,성능저하,김철수
EQ0076,2023-12-26,임펠러,48mm,3,125571,26663,손상,이영희
EQ0077,2023-04-06,로드,62mm,4,166009,53224,손상,김철수
EQ0078,2023-02-08,스프링,53mm,3,100461,34202,성능저하,최민준
EQ0078,2024-01-15,로드,89mm,1,151902,68215,손상,이영희
EQ0079,2023-11-21,임펠러,48mm,1,124785,74758,정기교체,정수현
EQ0079,2024-04-16,스프링,40mm,4,160902,62365,성능저하,최민준
EQ0080,2023-02-10,씰,39mm,3,154947,82742,성능저하,정수현
EQ0080,2023-05-04,씰,60mm,3,49293,23578,마모,정수현
EQ0080,2024-04-30,씰,62mm,3,23672,34508,정기교체,박준호
EQ0080,2024-05-03,스프링,50mm,1,72406,58703,마모,최민준
EQ0081,2023-02-18,씰,56mm,3,192936,67659,정기교체,정수현
EQ0082,2023-06-17,임펠러,85mm,1,121441,54934,마모,이영희
EQ0082,2023-06-23,베어링,68mm,3,55006,78641,손상,김철수
EQ0082,2023-08-03,스프링,25mm,3,195327,36664,손상,이영희
EQ0082,2024-04-23,로드,15mm,4,95787,40744,정기교체,김철수
EQ0083,2024-06-15,로드,63mm,4,92147,71765,노후,최민준
EQ0084,2023-07-28,임펠러,91mm,2,144618,66622,성능저하,이영희
EQ0084,2023-08-13,피스톤,32mm,3,93716,39628,노후,박준호
EQ0085,2023-01-08,임펠러,28mm,2,108038,45957,노후,이영희
EQ0085,2023-01-13,케이싱,35mm,2,191084,93711,마모,최민준
EQ0085,2023-08-02,로드,46mm,4,173185,76639,노후,정수현
EQ0085,2024-05-10,피스톤,39mm,1,122398,47243,성능저하,최민준
EQ0085,2024-08-15,밸브시트,89mm,1,16140,70891,마모,김철수
EQ0086,2023-09-23,임펠러,51mm,2,24068,61658,정기교체,박준호
EQ0087,2023-04-30,임펠러,89mm,3,57565,37456,마모,이영희
EQ0087,2023-05-25,임펠러,84mm,2,87674,96963,노후,김철수
EQ0087,2023-09-02,피스톤,97mm,1,102920,73634,성능저하,박준호
EQ0087,2024-01-03,로드,92mm,1,62672,89592,손상,이영희
EQ0088,2024-02-13,스프링,65mm,2,10228,43474,성능저하,최민준
EQ0088,2024-02-17,권선,21mm,4,119615,91449,성능저하,최민준
EQ0089,2023-04-13,스프링,97mm,3,131124,58154,노후,최민준
EQ0089,2024-03-26,씰,38mm,1,158641,89753,노후,이영희
EQ0090,2023-01-28,베어링,62mm,2,22815,85177,성능저하,김철수
EQ0090,2023-04-19,로드,34mm,3,72520,31079,정기교체,최민준
EQ0090,2023-08-06,필터,86mm,3,28462,55482,성능저하,박준호
EQ0090,2024-04-26,밸브시트,62mm,2,54617,78315,노후,박준호
EQ0090,2024-05-25,씰,84mm,3,72068,83344,정기교체,최민준
EQ0091,2023-07-10,씰,10mm,3,97684,74361,마모,최민준
EQ0091,2024-04-15,밸브시트,12mm,2,23944,76991,마모,이영희
EQ0092,2023-04-26,필터,37mm,3,102228,90102,성능저하,최민준
EQ0092,2023-05-24,피스톤,87mm,2,184792,59662,마모,최민준
EQ0092,2023-06-02,필터,80mm,2,52771,35498,마모,박준호
EQ0092,2023-10-24,밸브시트,40mm,1,161688,85334,성능저하,최민준
EQ0092,2023-12-29,임펠러,97mm,4,84769,89023,정기교체,정수현
EQ0093,2023-10-25,케이싱,97mm,2,115820,71966,정기교체,이영희
EQ0093,2023-11-15,씰,45mm,2,108558,29528,손상,최민준
EQ0093,2024-01-21,씰,71mm,3,28344,65154,마모,최민준
EQ0093,2024-03-10,베어링,92mm,1,156927,57524,마모,최민준
EQ0093,2024-03-20,밸브시트,81mm,1,119159,49924,성능저하,이영희
EQ0094,2023-09-07,권선,20mm,2,54262,44587,성능저하,김철수
EQ0094,2024-02-21,로드,65mm,1,185285,20555,손상,김철수
EQ0094,2024-05-02,스프링,87mm,1,129321,77262,노후,김철수
EQ0095,2023-01-01,권선,80mm,2,61700,33786,마모,최민준
EQ0095,2023-01-10,임펠러,59mm,2,83984,75290,성능저하,이영희
EQ0095,2023-03-01,권선,72mm,4,139944,25786,성능저하,이영희
EQ0095,2023-03-06,필터,49mm,2,107552,31422,정기교체,정수현
EQ0096,2023-08-20,필터,39mm,2,104934,89804,성능저하,최민준
EQ0096,2023-11-13,베어링,22mm,1,197471,47150,마모,최민준
EQ0096,2024-02-28,씰,70mm,3,45301,80998,정기교체,김철수
EQ0097,2023-01-03,로드,98mm,1,91453,27238,성능저하,박준호
EQ0098,2024-03-27,스프링,67mm,1,100811,21145,성능저하,정수현
EQ0098,2024-05-29,임펠러,11mm,1,134124,69588,노후,이영희
EQ0099,2023-01-27,피스톤,92mm,4,120594,69957,노후,이영희
EQ0099,2024-02-04,권선,18mm,2,69328,99821,손상,이영희
EQ0100,2024-06-12,스프링,57mm,1,145082,93811,성능저하,김철수
EQ0101,2024-01-23,권선,17mm,2,126228,89083,노후,최민준
EQ0101,2024-02-13,베어링,70mm,4,147421,43347,정기교체,이영희
EQ0102,2023-10-29,베어링,75mm,2,199337,60478,마모,김철수
EQ0103,2023-05-09,밸브시트,95mm,4,160796,87879,정기교체,김철수
EQ0103,2023-07-08,베어링,82mm,1,20620,40723,마모,최민준
EQ0103,2023-11-25,임펠러,47mm,2,56252,51212,노후,김철수
EQ0104,2023-01-15,필터,29mm,3,128159,86004,노후,최민준
EQ0104,2023-04-03,권선,63mm,1,79937,52122,손상,김철수
EQ0104,2023-12-09,임펠러,93mm,1,46002,37517,정기교체,김철수
EQ0104,2024-01-02,임펠러,79mm,2,112111,41341,마모,이영희
EQ0105,2023-02-25,피스톤,48mm,3,149405,99996,손상,이영희
EQ0105,2023-07-03,권선,31mm,1,118715,98648,성능저하,이영희
EQ0105,2023-11-02,스프링,23mm,4,11884,98968,마모,이영희
EQ0105,2023-11-07,임펠러,65mm,4,128394,37593,마모,김철수
EQ0105,2024-04-19,베어링,12mm,2,23918,49984,노후,박준호
EQ0106,2023-04-06,밸브시트,89mm,3,141220,35263,손상,최민준
EQ0107,2023-06-20,스프링,19mm,4,198175,29657,노후,이영희
EQ0107,2024-02-06,밸브시트,84mm,3,192859,87899,정기교체,최민준
EQ0107,2024-05-23,권선,75mm,4,25180,32377,정기교체,최민준
EQ0108,2023-09-16,케이싱,41mm,1,93064,72278,정기교체,이영희
EQ0108,2023-11-05,필터,84mm,1,133825,54055,성능저하,박준호
EQ0108,2024-01-04,필터,69mm,4,12843,99871,마모,정수현
EQ0108,2024-03-25,필터,31mm,3,62360,64938,정기교체,정수현
EQ0108,2024-05-10,밸브시트,72mm,3,142282,83807,마모,정수현
EQ0109,2023-03-31,피스톤,66mm,3,135501,64765,마모,박준호
EQ0109,2023-10-12,권선,84mm,2,116999,89677,노후,김철수
EQ0109,2023-11-08,케이싱,94mm,3,58469,65938,손상,이영희
EQ0109,2023-11-16,케이싱,73mm,2,89414,24886,성능저하,김철수
EQ0110,2023-12-02,임펠러,25mm,1,135274,28568,손상,정수현
EQ0110,2024-03-02,피스톤,29mm,3,174572,74215,정기교체,이영희
EQ0111,2023-01-18,피스톤,86mm,1,79611,95177,성능저하,최민준
EQ0111,2023-05-26,로드,41mm,4,68928,72158,정기교체,박준호
EQ0111,2023-12-09,임펠러,48mm,2,28132,69909,손상,이영희
EQ0111,2023-12-25,로드,99mm,4,183652,84806,마모,최민준
EQ0111,2024-06-05,케이싱,90mm,4,133958,44195,손상,최민준
EQ0112,2023-05-09,피스톤,57mm,4,94692,29007,마모,박준호
EQ0112,2023-12-29,씰,40mm,3,142872,37192,손상,이영희
EQ0113,2023-12-19,로드,93mm,4,156331,85923,손상,최민준
EQ0113,2024-03-17,밸브시트,13mm,2,194068,88426,정기교체,박준호
EQ0114,2023-02-04,밸브시트,65mm,3,103156,38691,성능저하,박준호
EQ0114,2023-07-22,케이싱,36mm,2,75461,42510,손상,최민준
EQ0114,2023-07-24,피스톤,58mm,2,89949,20768,마모,김철수
EQ0115,2024-01-29,피스톤,83mm,2,114537,32324,노후,박준호
EQ0115,2024-03-19,피스톤,74mm,1,185738,59661,노후,박준호
EQ0115,2024-07-25,로드,60mm,2,172331,68879,성능저하,김철수
EQ0116,2023-12-12,케이싱,84mm,3,125159,41829,마모,정수현
EQ0116,2024-01-04,케이싱,97mm,4,64490,20648,마모,정수현
EQ0116,2024-05-25,케이싱,74mm,3,160130,90084,정기교체,김철수
EQ0117,2023-02-08,피스톤,48mm,2,133937,89310,마모,정수현
EQ0117,2023-05-01,피스톤,11mm,4,196205,83276,노후,정수현
EQ0117,2023-05-17,권선,49mm,1,140571,73094,성능저하,김철수
EQ0117,2024-02-29,피스톤,78mm,2,88554,97934,마모,박준호
EQ0118,2023-09-12,임펠러,43mm,1,155832,58302,정기교체,최민준
EQ0118,2024-08-09,피스톤,91mm,3,28134,36786,성능저하,정수현
EQ0119,2023-04-12,권선,36mm,1,36532,56861,정기교체,최민준
EQ0119,2023-12-06,밸브시트,85mm,1,158583,78367,성능저하,김철수
EQ0119,2024-04-25,권선,80mm,2,146068,54232,성능저하,박준호
EQ0119,2024-05-22,필터,29mm,2,30912,60334,손상,김철수
EQ0120,2023-01-26,필터,67mm,3,124717,55966,손상,최민준
EQ0120,2023-12-07,밸브시트,60mm,2,100641,75032,노후,최민준
EQ0120,2024-02-23,씰,65mm,4,82401,99146,노후,최민준
EQ0120,2024-07-02,권선,57mm,2,133085,21636,마모,최민준
EQ0120,2024-08-06,케이싱,17mm,1,71196,33830,정기교체,정수현
EQ0121,2023-06-16,씰,29mm,3,21905,22461,손상,이영희
EQ0121,2023-06-30,로드,25mm,4,39564,89692,성능저하,김철수
EQ0121,2023-10-17,필터,89mm,3,149535,56446,정기교체,정수현
EQ0122,2023-10-27,피스톤,39mm,4,13838,62073,마모,박준호
EQ0122,2023-12-28,밸브시트,85mm,3,179807,35981,손상,김철수
EQ0123,2024-03-13,로드,16mm,2,93050,79415,노후,박준호
EQ0124,2023-06-20,케이싱,68mm,1,149639,47866,마모,박준호
EQ0124,2024-04-30,밸브시트,35mm,2,155117,38780,성능저하,김철수
EQ0125,2023-04-12,필터,63mm,2,53201,83296,성능저하,이영희
EQ0125,2023-06-06,베어링,89mm,2,50021,63184,마모,박준호
EQ0126,2023-09-04,밸브시트,63mm,1,181076,71293,마모,김철수
