기기ID,점검일자,점검항목,측정값,측정단위,점검결과,담당자,비고
EQ0004,2024-07-29,절연저항,87.01,bar,정상,최민준,조정완료
EQ0004,2024-08-01,절연저항,33.64,dB,정상,김철수,
EQ0004,2024-08-06,전류측정,46.63,MΩ,정상,김철수,조정완료
EQ0004,2024-08-20,외관검사,99.01,bar,주의,최민준,윤활유 추가
EQ0005,2023-02-18,절연저항,14.45,A,주의,김철수,부품교체필요
EQ0005,2023-04-19,유량측정,70.71,°C,주의,최민준,부품교체필요
EQ0005,2023-05-07,절연저항,24.87,L/min,주의,정수현,조정완료
EQ0005,2023-07-02,외관검사,12.67,A,정상,박준호,조정완료
EQ0005,2023-10-10,온도측정,34.91,°C,정상,정수현,
EQ0005,2023-11-20,절연저항,82.03,L/min,정상,박준호,청소완료
EQ0005,2023-12-07,압력검사,61.48,MΩ,정상,김철수,
EQ0005,2023-12-10,압력검사,35.61,°C,정상,박준호,윤활유 추가
EQ0005,2024-02-28,절연저항,64.97,bar,정상,김철수,조정완료
EQ0005,2024-03-28,외관검사,67.28,MΩ,정상,김철수,청소완료
EQ0006,2023-01-30,유량측정,30.37,A,정상,최민준,
EQ0006,2023-03-04,전류측정,38.7,dB,정상,최민준,청소완료
EQ0006,2023-03-25,외관검사,16.39,dB,정상,김철수,부품교체필요
EQ0006,2023-04-15,소음진동,42.57,A,정상,이영희,윤활유 추가
EQ0006,2023-04-28,외관검사,65.13,L/min,정상,박준호,조정완료
EQ0006,2023-09-25,온도측정,50.4,bar,정상,정수현,조정완료
EQ0006,2023-10-04,절연저항,86.67,L/min,정상,김철수,조정완료
EQ0006,2023-10-17,유량측정,48.75,L/min,정상,김철수,
EQ0006,2024-03-02,전류측정,16.45,MΩ,정상,김철수,조정완료
EQ0006,2024-05-28,압력검사,15.98,MΩ,정상,김철수,
EQ0006,2024-07-12,유량측정,40.58,dB,정상,최민준,윤활유 추가
EQ0006,2024-07-27,외관검사,29.44,°C,주의,김철수,청소완료
EQ0007,2023-02-04,전류측정,49.97,dB,주의,김철수,조정완료
EQ0007,2023-03-18,온도측정,96.5,L/min,정상,최민준,조정완료
EQ0007,2023-06-14,외관검사,59.83,dB,정상,정수현,윤활유 추가
EQ0007,2023-06-14,전류측정,45.56,L/min,경고,정수현,청소완료
EQ0007,2023-12-09,온도측정,42.06,dB,정상,박준호,부품교체필요
EQ0007,2024-01-11,온도측정,57.87,bar,정상,박준호,윤활유 추가
EQ0007,2024-03-10,압력검사,99.45,L/min,정상,김철수,부품교체필요
EQ0007,2024-03-15,유량측정,60.37,L/min,정상,이영희,조정완료
EQ0007,2024-03-23,온도측정,24.4,dB,정상,정수현,조정완료
EQ0007,2024-05-11,압력검사,40.82,L/min,정상,박준호,청소완료
EQ0007,2024-05-13,외관검사,62.24,bar,정상,이영희,윤활유 추가
EQ0007,2024-06-25,소음진동,91.01,bar,정상,최민준,조정완료
EQ0008,2023-01-13,전류측정,66.39,dB,정상,정수현,윤활유 추가
EQ0008,2023-03-05,온도측정,91.85,A,정상,최민준,조정완료
EQ0008,2023-12-03,외관검사,36.86,A,정상,박준호,윤활유 추가
EQ0008,2023-12-31,온도측정,28.04,°C,정상,정수현,
EQ0008,2024-01-30,전류측정,21.23,°C,정상,김철수,부품교체필요
EQ0008,2024-05-13,소음진동,75.31,bar,불량,이영희,청소완료
EQ0008,2024-06-07,절연저항,23.39,A,정상,최민준,청소완료
EQ0008,2024-06-30,절연저항,96.17,A,불량,이영희,
EQ0008,2024-07-19,소음진동,22.1,MΩ,정상,최민준,부품교체필요
EQ0008,2024-08-04,전류측정,37.22,L/min,정상,김철수,윤활유 추가
EQ0009,2023-01-10,유량측정,66.23,L/min,정상,이영희,부품교체필요
EQ0009,2023-02-28,전류측정,74.86,L/min,정상,이영희,부품교체필요
EQ0009,2023-08-19,압력검사,85.8,°C,정상,정수현,조정완료
EQ0009,2023-10-22,온도측정,82.31,MΩ,정상,박준호,조정완료
EQ0009,2023-11-23,절연저항,11.29,°C,정상,정수현,
EQ0009,2023-12-21,온도측정,66.89,bar,경고,이영희,조정완료
EQ0009,2024-01-15,절연저항,14.52,dB,주의,최민준,부품교체필요
EQ0009,2024-02-16,절연저항,84.03,MΩ,정상,최민준,조정완료
EQ0009,2024-06-16,온도측정,42.2,°C,주의,김철수,부품교체필요
EQ0009,2024-06-30,소음진동,19.4,°C,주의,최민준,윤활유 추가
EQ0009,2024-07-02,압력검사,77.81,bar,주의,김철수,
EQ0009,2024-07-26,온도측정,57.03,dB,정상,이영희,부품교체필요
EQ0010,2023-03-24,외관검사,43.96,L/min,정상,김철수,부품교체필요
EQ0010,2023-04-10,전류측정,74.77,°C,정상,박준호,
EQ0010,2023-04-10,압력검사,77.86,bar,정상,최민준,부품교체필요
EQ0010,2023-05-17,온도측정,87.99,L/min,주의,박준호,조정완료
EQ0010,2023-06-03,소음진동,34.86,MΩ,경고,이영희,
EQ0010,2023-08-23,압력검사,26.45,L/min,정상,최민준,
EQ0010,2023-08-24,외관검사,14.71,°C,정상,정수현,조정완료
EQ0010,2023-12-20,전류측정,14.89,L/min,정상,김철수,
EQ0010,2024-01-25,압력검사,94.64,bar,경고,김철수,
EQ0010,2024-04-15,소음진동,60.82,L/min,정상,이영희,조정완료
EQ0010,2024-05-16,전류측정,55.04,°C,정상,이영희,윤활유 추가
EQ0010,2024-06-16,유량측정,80.36,L/min,불량,김철수,조정완료
EQ0011,2023-01-28,절연저항,68.03,bar,정상,김철수,청소완료
EQ0011,2023-02-13,전류측정,85.19,MΩ,정상,이영희,
EQ0011,2023-07-01,유량측정,10.89,A,경고,이영희,청소완료
EQ0011,2023-08-18,외관검사,38.07,L/min,정상,김철수,청소완료
EQ0011,2024-02-02,소음진동,12.83,A,정상,김철수,청소완료
EQ0011,2024-05-16,압력검사,16.87,MΩ,정상,정수현,조정완료
EQ0011,2024-06-16,유량측정,13.87,bar,정상,이영희,조정완료
EQ0012,2023-01-15,압력검사,95.42,MΩ,정상,이영희,부품교체필요
EQ0012,2023-02-02,전류측정,56.62,L/min,정상,최민준,윤활유 추가
EQ0012,2023-08-06,유량측정,96.2,°C,정상,최민준,부품교체필요
EQ0012,2023-08-13,전류측정,80.23,bar,정상,최민준,윤활유 추가
EQ0012,2023-10-29,압력검사,51.27,A,정상,정수현,청소완료
EQ0012,2023-11-27,전류측정,60.52,MΩ,정상,박준호,부품교체필요
EQ0012,2023-12-05,온도측정,98.35,L/min,정상,최민준,윤활유 추가
EQ0012,2024-01-08,유량측정,59.35,L/min,주의,김철수,윤활유 추가
EQ0012,2024-05-03,압력검사,32.19,L/min,정상,최민준,청소완료
EQ0012,2024-05-05,외관검사,41.07,L/min,정상,최민준,
EQ0012,2024-05-06,전류측정,22.67,dB,주의,박준호,조정완료
EQ0012,2024-07-12,전류측정,73.69,dB,정상,이영희,조정완료
EQ0012,2024-08-18,유량측정,30.72,MΩ,정상,박준호,부품교체필요
EQ0013,2023-01-08,절연저항,74.65,MΩ,정상,김철수,윤활유 추가
EQ0013,2023-01-17,소음진동,99.32,bar,정상,박준호,부품교체필요
EQ0013,2023-06-03,절연저항,27.11,A,주의,정수현,부품교체필요
EQ0013,2023-06-10,외관검사,98.31,bar,정상,최민준,청소완료
EQ0013,2023-06-19,유량측정,26.01,A,정상,박준호,
EQ0013,2023-09-23,온도측정,29.88,°C,정상,김철수,
EQ0013,2023-09-30,온도측정,45.57,dB,불량,정수현,부품교체필요
EQ0013,2023-11-20,외관검사,31.64,dB,경고,최민준,청소완료
EQ0013,2023-12-15,온도측정,90.52,bar,정상,김철수,윤활유 추가
EQ0013,2024-02-08,압력검사,12.94,A,불량,박준호,부품교체필요
EQ0013,2024-03-21,외관검사,29.72,bar,정상,박준호,부품교체필요
EQ0013,2024-06-29,온도측정,54.52,°C,주의,김철수,윤활유 추가
EQ0013,2024-07-01,압력검사,43.93,L/min,정상,박준호,조정완료
EQ0013,2024-08-04,외관검사,27.72,A,정상,박준호,부품교체필요
EQ0013,2024-08-18,소음진동,79.45,MΩ,정상,정수현,부품교체필요
EQ0014,2023-02-07,온도측정,69.67,°C,주의,이영희,부품교체필요
EQ0014,2023-02-09,전류측정,39.9,dB,주의,이영희,청소완료
EQ0014,2023-04-09,유량측정,78.29,A,정상,이영희,조정완료
EQ0014,2023-04-19,압력검사,32.98,A,정상,최민준,
EQ0014,2023-09-11,압력검사,78.9,°C,정상,최민준,조정완료
EQ0014,2023-10-17,외관검사,51.7,bar,정상,정수현,조정완료
EQ0014,2023-12-20,압력검사,30.24,L/min,정상,박준호,윤활유 추가
EQ0014,2024-01-26,전류측정,37.38,bar,정상,박준호,청소완료
EQ0014,2024-02-09,절연저항,80.23,dB,경고,이영희,청소완료
EQ0014,2024-04-19,유량측정,36.57,A,정상,박준호,윤활유 추가
EQ0015,2023-03-29,소음진동,72.75,A,주의,이영희,조정완료
EQ0015,2023-04-12,외관검사,56.25,°C,정상,김철수,
EQ0015,2023-07-21,온도측정,34.21,MΩ,정상,박준호,부품교체필요
EQ0015,2023-11-04,압력검사,87.09,°C,주의,정수현,
EQ0015,2023-11-09,외관검사,12.78,°C,정상,정수현,청소완료
EQ0015,2024-04-18,전류측정,55.6,L/min,정상,박준호,윤활유 추가
EQ0015,2024-05-19,외관검사,64.14,L/min,정상,박준호,조정완료
EQ0015,2024-06-20,온도측정,34.43,°C,정상,박준호,청소완료
EQ0015,2024-07-04,절연저항,45.39,bar,정상,박준호,부품교체필요
EQ0016,2023-03-10,절연저항,32.24,°C,정상,김철수,윤활유 추가
EQ0016,2023-05-31,소음진동,88.43,A,정상,박준호,부품교체필요
EQ0016,2023-06-17,온도측정,48.66,bar,주의,정수현,윤활유 추가
EQ0016,2023-07-16,온도측정,15.09,L/min,불량,최민준,윤활유 추가
EQ0016,2023-11-27,압력검사,41.77,°C,경고,정수현,
EQ0016,2024-02-23,절연저항,73.33,MΩ,주의,최민준,윤활유 추가
EQ0016,2024-08-14,온도측정,89.14,°C,정상,최민준,청소완료
EQ0016,2024-08-17,온도측정,11.09,L/min,정상,최민준,조정완료
EQ0017,2023-03-14,외관검사,70.49,MΩ,정상,최민준,윤활유 추가
EQ0017,2023-03-20,온도측정,76.29,bar,정상,최민준,부품교체필요
EQ0017,2023-07-23,전류측정,33.78,dB,정상,박준호,부품교체필요
EQ0017,2024-01-27,소음진동,50.51,dB,정상,이영희,조정완료
EQ0017,2024-02-16,절연저항,59.99,dB,주의,김철수,
EQ0017,2024-04-21,유량측정,35.01,dB,경고,김철수,
EQ0017,2024-05-09,절연저항,16.15,°C,정상,최민준,윤활유 추가
EQ0017,2024-05-22,소음진동,87.95,°C,정상,김철수,부품교체필요
EQ0017,2024-08-08,절연저항,97.17,A,정상,박준호,조정완료
EQ0017,2024-08-18,온도측정,68.37,MΩ,정상,박준호,윤활유 추가
EQ0018,2023-03-24,외관검사,29.84,°C,주의,이영희,
EQ0018,2023-09-05,유량측정,65.2,°C,정상,이영희,청소완료
EQ0018,2023-10-11,외관검사,11.39,L/min,경고,김철수,청소완료
EQ0018,2023-11-10,외관검사,70.56,dB,정상,이영희,부품교체필요
EQ0018,2023-12-29,온도측정,73.49,dB,정상,이영희,청소완료
EQ0018,2024-01-01,압력검사,16.94,dB,정상,정수현,부품교체필요
EQ0018,2024-01-02,전류측정,83.55,A,주의,이영희,윤활유 추가
EQ0018,2024-01-05,온도측정,49.02,A,경고,정수현,
EQ0018,2024-05-07,전류측정,27.93,L/min,정상,김철수,
EQ0018,2024-05-08,소음진동,48.47,bar,정상,김철수,
EQ0018,2024-07-02,외관검사,13.15,A,정상,정수현,부품교체필요
EQ0018,2024-07-02,전류측정,15.76,dB,정상,박준호,부품교체필요
EQ0018,2024-07-03,전류측정,84.07,A,정상,박준호,부품교체필요
EQ0019,2023-01-06,온도측정,84.6,MΩ,정상,정수현,부품교체필요
EQ0019,2023-02-07,압력검사,24.44,bar,주의,최민준,조정완료
EQ0019,2023-03-02,전류측정,16.9,°C,주의,정수현,청소완료
EQ0019,2023-03-28,외관검사,41.03,A,정상,김철수,조정완료
EQ0019,2023-05-09,유량측정,93.21,A,정상,김철수,조정완료
EQ0019,2023-06-26,소음진동,34.43,°C,정상,정수현,
EQ0019,2023-07-24,유량측정,63.12,bar,정상,최민준,청소완료
EQ0019,2023-07-26,외관검사,78.8,MΩ,정상,김철수,
EQ0019,2023-08-22,유량측정,37.99,MΩ,정상,최민준,윤활유 추가
EQ0019,2023-08-23,소음진동,89.35,dB,정상,최민준,윤활유 추가
EQ0019,2023-08-27,압력검사,47.0,MΩ,정상,정수현,
EQ0019,2023-08-30,전류측정,74.85,L/min,정상,최민준,조정완료
EQ0019,2023-09-04,압력검사,74.69,MΩ,주의,김철수,
EQ0020,2023-02-18,압력검사,50.54,bar,주의,최민준,조정완료
EQ0020,2023-04-03,외관검사,88.68,°C,정상,박준호,
EQ0020,2023-05-19,압력검사,46.88,°C,주의,박준호,부품교체필요
EQ0020,2023-06-24,외관검사,48.6,A,정상,이영희,
EQ0020,2023-07-18,절연저항,55.95,A,경고,정수현,윤활유 추가
EQ0020,2023-09-02,압력검사,40.35,dB,정상,정수현,조정완료
EQ0020,2023-11-01,온도측정,28.39,°C,불량,김철수,
EQ0020,2023-11-19,온도측정,16.3,MΩ,정상,박준호,청소완료
EQ0020,2023-12-20,온도측정,59.2,°C,정상,정수현,
EQ0020,2024-02-20,소음진동,32.79,°C,주의,김철수,
EQ0020,2024-05-21,유량측정,75.05,dB,정상,박준호,윤활유 추가
EQ0020,2024-06-17,절연저항,45.05,°C,주의,최민준,청소완료
EQ0020,2024-07-27,외관검사,87.16,A,정상,정수현,조정완료
EQ0021,2023-03-03,외관검사,43.59,L/min,정상,김철수,청소완료
EQ0021,2023-05-16,외관검사,62.53,bar,정상,이영희,청소완료
EQ0021,2023-08-08,절연저항,77.5,°C,정상,박준호,조정완료
EQ0021,2023-12-21,압력검사,28.65,L/min,주의,최민준,
EQ0021,2024-03-20,압력검사,74.15,A,정상,정수현,윤활유 추가
EQ0021,2024-07-29,소음진동,90.02,bar,정상,이영희,청소완료
EQ0022,2023-08-10,압력검사,39.21,bar,주의,정수현,부품교체필요
EQ0022,2023-10-27,온도측정,26.91,°C,정상,이영희,청소완료
EQ0022,2023-12-06,유량측정,23.55,°C,정상,정수현,조정완료
EQ0022,2024-01-06,소음진동,50.57,MΩ,주의,김철수,윤활유 추가
EQ0022,2024-08-08,전류측정,79.91,L/min,정상,최민준,부품교체필요
EQ0022,2024-08-13,압력검사,66.7,MΩ,정상,김철수,윤활유 추가
EQ0023,2023-06-04,전류측정,87.73,A,정상,정수현,
EQ0023,2023-06-19,유량측정,94.59,MΩ,정상,박준호,조정완료
EQ0023,2023-07-10,온도측정,52.24,bar,불량,최민준,
EQ0023,2023-10-03,온도측정,88.16,A,경고,최민준,조정완료
EQ0023,2024-03-17,온도측정,94.46,bar,경고,이영희,윤활유 추가
EQ0023,2024-03-30,압력검사,84.29,dB,주의,김철수,조정완료
EQ0023,2024-04-02,온도측정,99.79,A,정상,정수현,조정완료
EQ0023,2024-04-03,온도측정,86.43,MΩ,정상,최민준,조정완료
EQ0023,2024-06-20,유량측정,99.16,A,정상,이영희,조정완료
EQ0023,2024-07-03,온도측정,99.9,A,경고,박준호,조정완료
EQ0023,2024-07-24,전류측정,97.68,MΩ,정상,박준호,
EQ0023,2024-08-20,절연저항,11.54,dB,주의,최민준,윤활유 추가
EQ0024,2023-02-12,전류측정,85.43,MΩ,정상,박준호,청소완료
EQ0024,2023-02-19,절연저항,94.81,L/min,정상,최민준,윤활유 추가
EQ0024,2023-04-03,절연저항,25.28,L/min,정상,김철수,윤활유 추가
EQ0024,2023-07-03,소음진동,46.17,bar,정상,김철수,부품교체필요
EQ0024,2023-08-22,외관검사,66.04,°C,정상,정수현,청소완료
EQ0024,2023-08-27,온도측정,76.37,°C,불량,최민준,조정완료
EQ0024,2023-09-17,외관검사,26.14,L/min,정상,이영희,
EQ0024,2023-10-23,소음진동,17.61,L/min,경고,박준호,조정완료
EQ0024,2024-01-15,전류측정,49.19,L/min,주의,이영희,조정완료
EQ0024,2024-03-13,소음진동,76.65,L/min,정상,최민준,조정완료
EQ0024,2024-05-08,온도측정,81.05,L/min,정상,박준호,청소완료
EQ0025,2023-02-01,외관검사,94.64,dB,정상,이영희,조정완료
EQ0025,2023-02-08,유량측정,41.98,bar,정상,최민준,조정완료
EQ0025,2023-03-27,유량측정,23.22,MΩ,경고,이영희,윤활유 추가
EQ0025,2023-04-22,유량측정,53.91,°C,정상,이영희,
EQ0025,2023-07-20,전류측정,60.36,MΩ,주의,김철수,윤활유 추가
EQ0025,2023-10-29,절연저항,22.34,MΩ,주의,박준호,청소완료
EQ0025,2024-03-14,소음진동,35.37,dB,정상,정수현,
EQ0025,2024-06-13,온도측정,99.26,°C,경고,정수현,
EQ0025,2024-08-06,유량측정,35.05,A,정상,정수현,청소완료
EQ0026,2023-01-06,절연저항,32.75,dB,정상,박준호,청소완료
EQ0026,2023-06-26,온도측정,86.06,bar,정상,김철수,
EQ0026,2023-08-17,절연저항,61.1,°C,정상,최민준,청소완료
EQ0026,2024-03-14,전류측정,50.86,°C,정상,정수현,조정완료
EQ0026,2024-03-26,유량측정,54.17,MΩ,주의,정수현,
EQ0026,2024-07-04,외관검사,76.74,A,정상,최민준,조정완료
EQ0027,2023-04-08,외관검사,40.24,L/min,주의,김철수,
EQ0027,2023-04-21,온도측정,63.1,bar,정상,김철수,조정완료
EQ0027,2023-08-26,절연저항,52.81,A,정상,정수현,
EQ0027,2023-09-29,전류측정,53.85,dB,정상,정수현,부품교체필요
EQ0027,2023-09-30,소음진동,31.34,A,정상,박준호,부품교체필요
EQ0027,2023-10-03,유량측정,77.52,MΩ,정상,김철수,조정완료
EQ0027,2024-02-21,외관검사,49.44,MΩ,불량,최민준,윤활유 추가
EQ0027,2024-04-11,유량측정,70.3,L/min,정상,정수현,청소완료
EQ0027,2024-08-18,전류측정,63.0,L/min,정상,이영희,부품교체필요
EQ0028,2023-01-06,온도측정,27.31,L/min,주의,정수현,윤활유 추가
EQ0028,2023-03-13,온도측정,25.61,°C,정상,이영희,윤활유 추가
EQ0028,2023-05-17,전류측정,24.65,L/min,정상,정수현,
EQ0028,2023-05-19,전류측정,21.29,°C,정상,이영희,조정완료
EQ0028,2023-05-29,온도측정,36.44,A,정상,박준호,
EQ0028,2023-07-05,유량측정,40.6,A,주의,이영희,부품교체필요
EQ0028,2023-07-11,온도측정,57.23,°C,정상,박준호,윤활유 추가
EQ0028,2023-09-01,유량측정,41.54,°C,정상,이영희,조정완료
EQ0028,2023-11-04,소음진동,74.44,°C,정상,최민준,윤활유 추가
EQ0028,2024-02-28,전류측정,93.46,MΩ,정상,정수현,조정완료
EQ0028,2024-03-22,유량측정,26.72,dB,경고,최민준,윤활유 추가
EQ0028,2024-05-25,소음진동,27.05,MΩ,정상,김철수,부품교체필요
EQ0029,2023-03-11,외관검사,14.07,L/min,주의,최민준,윤활유 추가
EQ0029,2023-05-18,외관검사,94.84,A,주의,정수현,부품교체필요
EQ0029,2023-05-20,전류측정,36.56,°C,정상,이영희,윤활유 추가
EQ0029,2023-09-28,온도측정,29.12,bar,정상,이영희,부품교체필요
EQ0029,2023-12-26,소음진동,25.95,bar,정상,박준호,
EQ0029,2024-01-13,압력검사,48.7,°C,주의,정수현,조정완료
EQ0029,2024-04-25,유량측정,35.92,dB,정상,최민준,
EQ0029,2024-06-13,압력검사,83.89,MΩ,정상,박준호,부품교체필요
EQ0030,2023-01-22,절연저항,90.63,MΩ,주의,김철수,부품교체필요
EQ0030,2023-04-18,유량측정,88.58,bar,정상,정수현,조정완료
EQ0030,2023-04-21,외관검사,32.76,dB,정상,정수현,
EQ0030,2023-06-15,외관검사,42.25,bar,주의,정수현,조정완료
EQ0030,2023-09-26,외관검사,34.82,A,정상,정수현,부품교체필요
EQ0030,2023-11-07,압력검사,20.68,bar,정상,정수현,
EQ0030,2024-03-13,유량측정,98.52,°C,정상,이영희,조정완료
EQ0030,2024-05-09,소음진동,14.53,L/min,정상,김철수,조정완료
EQ0030,2024-07-24,소음진동,76.5,L/min,정상,박준호,청소완료
EQ0031,2023-03-06,온도측정,41.94,bar,정상,정수현,청소완료
EQ0031,2023-05-02,유량측정,83.32,bar,정상,박준호,부품교체필요
EQ0031,2023-05-26,유량측정,60.6,MΩ,주의,최민준,윤활유 추가
EQ0031,2024-02-11,외관검사,64.15,bar,정상,박준호,부품교체필요
EQ0031,2024-07-28,온도측정,13.96,A,정상,박준호,청소완료
EQ0032,2023-04-16,온도측정,74.16,L/min,정상,김철수,
EQ0032,2023-06-20,절연저항,23.18,bar,정상,이영희,조정완료
EQ0032,2023-07-06,유량측정,91.65,L/min,정상,최민준,조정완료
EQ0032,2023-07-13,전류측정,18.62,A,정상,정수현,부품교체필요
EQ0032,2023-08-18,소음진동,13.87,bar,정상,최민준,부품교체필요
EQ0032,2023-08-21,외관검사,26.31,A,경고,정수현,청소완료
EQ0032,2023-09-13,전류측정,47.55,L/min,정상,김철수,부품교체필요
EQ0032,2024-02-20,절연저항,83.84,A,경고,최민준,윤활유 추가
EQ0032,2024-04-01,압력검사,91.14,MΩ,정상,박준호,윤활유 추가
EQ0032,2024-05-08,유량측정,44.11,MΩ,정상,이영희,부품교체필요
EQ0032,2024-05-29,외관검사,64.32,MΩ,정상,김철수,윤활유 추가
EQ0032,2024-08-05,유량측정,92.48,dB,정상,박준호,부품교체필요
EQ0033,2023-01-21,압력검사,78.41,L/min,정상,김철수,청소완료
EQ0033,2023-02-17,소음진동,16.91,A,정상,정수현,조정완료
EQ0033,2023-02-23,온도측정,13.55,°C,정상,박준호,조정완료
EQ0033,2023-05-21,절연저항,24.7,bar,정상,최민준,조정완료
EQ0033,2023-07-06,소음진동,95.21,°C,주의,이영희,청소완료
EQ0033,2023-07-14,전류측정,45.51,MΩ,정상,정수현,부품교체필요
EQ0033,2023-08-12,소음진동,15.1,L/min,정상,박준호,부품교체필요
EQ0033,2023-11-29,유량측정,97.64,dB,정상,박준호,윤활유 추가
EQ0033,2024-02-04,절연저항,77.72,bar,경고,정수현,조정완료
EQ0033,2024-03-02,절연저항,97.84,L/min,경고,최민준,청소완료
EQ0033,2024-05-08,소음진동,40.65,°C,정상,박준호,청소완료
EQ0033,2024-05-17,외관검사,30.83,dB,경고,이영희,부품교체필요
EQ0033,2024-06-03,압력검사,18.09,L/min,정상,정수현,청소완료
EQ0033,2024-08-13,전류측정,77.63,MΩ,정상,최민준,청소완료
EQ0034,2023-01-04,전류측정,11.46,dB,정상,김철수,
EQ0034,2023-01-12,온도측정,70.88,°C,경고,김철수,부품교체필요
EQ0034,2023-04-18,온도측정,21.34,dB,정상,정수현,윤활유 추가
EQ0034,2023-05-24,절연저항,12.12,A,정상,박준호,조정완료
EQ0034,2023-06-30,소음진동,49.09,dB,정상,최민준,
EQ0034,2023-09-03,압력검사,64.54,L/min,주의,박준호,
EQ0034,2023-10-27,소음진동,12.7,°C,정상,최민준,윤활유 추가
EQ0034,2023-11-12,절연저항,48.62,MΩ,정상,정수현,부품교체필요
EQ0034,2023-12-14,외관검사,68.69,bar,주의,이영희,부품교체필요
EQ0034,2024-03-19,소음진동,31.0,bar,정상,이영희,조정완료
EQ0034,2024-05-04,절연저항,41.66,A,정상,정수현,윤활유 추가
EQ0034,2024-05-31,유량측정,69.07,A,정상,이영희,청소완료
EQ0034,2024-07-03,절연저항,88.76,°C,정상,최민준,부품교체필요
EQ0035,2023-05-08,소음진동,46.59,MΩ,주의,최민준,조정완료
EQ0035,2023-06-09,소음진동,63.47,L/min,정상,최민준,부품교체필요
EQ0035,2023-07-20,소음진동,17.34,dB,주의,최민준,부품교체필요
EQ0035,2023-10-12,전류측정,90.13,L/min,정상,정수현,부품교체필요
EQ0035,2023-11-17,온도측정,59.33,MΩ,정상,김철수,부품교체필요
EQ0035,2023-12-22,외관검사,37.71,bar,정상,이영희,윤활유 추가
EQ0036,2023-02-23,소음진동,15.92,L/min,정상,김철수,부품교체필요
EQ0036,2023-03-24,절연저항,11.16,bar,불량,박준호,조정완료
EQ0036,2023-05-11,유량측정,21.55,A,정상,최민준,조정완료
EQ0036,2023-07-20,압력검사,17.66,°C,정상,이영희,조정완료
EQ0036,2023-07-25,전류측정,90.21,bar,주의,김철수,청소완료
EQ0036,2023-11-06,전류측정,54.91,bar,정상,최민준,윤활유 추가
EQ0036,2024-03-12,전류측정,38.65,dB,정상,정수현,윤활유 추가
EQ0036,2024-04-06,전류측정,11.46,MΩ,정상,김철수,조정완료
EQ0036,2024-04-24,압력검사,34.48,A,경고,정수현,윤활유 추가
EQ0036,2024-05-22,온도측정,31.63,°C,정상,박준호,윤활유 추가
EQ0036,2024-08-21,절연저항,21.46,MΩ,정상,최민준,
EQ0037,2023-02-12,온도측정,30.34,dB,정상,박준호,부품교체필요
EQ0037,2023-03-14,전류측정,88.56,MΩ,불량,박준호,조정완료
